Move,Freq,AC,Type,Roll,Dmg. Type,Range,Special Effect
Megahorn,Scene x2,4,Bug,3d12+10 ,Phys,"Melee, 1 Target","The Target loses -1 CS in Defense. If they already have negative CS in Defense, they also become Vulnerable against Melee Attacks until the end of the next Round."
Pheromone Haze,Scene x2,/,Bug,,Status,"Blessing, Versatile","Blessing - Any user affected by Pheromone Haze may activate it as a Free Action when using a Bug Type Damaging Attack to grant it the Smite Keyword. If the Attack hits, it hits, it is also increased by one damage step. (Max 1.5x Effectiveness). Pheromone Haze may be Activated 3 times and then disappears. "
Pheromone Spray,EOT,5,Bug,1d8+6 ,Spec,"Close Blast 2","One Target becomes Marked with a Haze Mark. Attacks against Enemies with a Haze Mark have a bonus to Effect Ranges equal to your Tier Level. When an Effect Range Triggers against an Enemy with a Haze Mark, the Haze Mark is removed. Spirit Surge"
Pin Missile,EOT,5,Bug,1d8+6 ,Phys,"6, 1 Target","If Pin Missile hits at least 4 times, the Target becomes Wounded. Five Strike"
Pollen Puff,EOT,4,Bug,2d8+10 ,Spec,"6, 1 Target","If Pollen Puff targets an Ally instead of dealing damage, they restore 2 Ticks of Hit Points or Temporary Hit Points."
Powder,Scene x2,4,Bug,,Status,"6, Ranged Blast 3, Versatile","The Target gains a Flammable Coat. Whenever a Combatant with a Flammable Coat is hit with a 1 Target Ranged Damaging Attack, the Attacker may expend the Coat. Once expended, a Burst 2 explosion occurs originating from the Enemy with the Coat and all Combatants within this Range are also hit with the Triggering Attack. "
Powder Storm,Scene,6,Bug,4d10+10 ,Spec,"Close Blast 3, Full Action, Reckless","After Damage Calculations, lower the Offensive Stat used for this Attack by -2 CS. Smite"
Quiver Dance,Scene x2,/,Bug,,Status,"Self, Versatile","The user gains +2 CS in Special Attack, Special Defense and Speed."
Rage Powder,Scene x2,5,Bug,,Status,"Burst 1 or Close Blast 2; Versatile","All Targets hit by Rage Powder become Provoked by the user until the end of their next Turn. On a roll of 15+, they also become Enraged. Friendly."
Skitter Dance,At-Will,/,Bug,,Status,"Self, Movement Action","The user’s next Melee Attack this Turn ignores Speed Evasion or they gain +1 Evasion."
Skitter Smack,EOT,2,Bug,2d6+10 ,Phys,"Melee, 1 Target","The user may declare the usage of Skitter Smack at the start of their Turn. When Moving this turn, they do not provoke Attacks of Opportunity and do not trigger Reactions."
Silk Trap,Scene,5,Bug,,Status,"4, 1 Target, Versatile","The Target becomes Slowed. While Slowed this way, their Melee Attacks are resisted an additional Damage step. If this Attack misses, they instead are Slowed without any additional effects. Spirit Surge"
Silk Weave,Scene x2,/,Bug,,Status,"4m, 1 Target or Self; Coat","The Target gains a Silk Coat. The Target may expend a Silk Coat to become cured of a Physical Affliction or to reset a Stat to its Default Value"
Silver Cyclone,Scene x2,5,Bug,3d10+10 ,Spec,"6, Ranged Blast 3, Full Action","If the Weather is Windy, Silver Cyclone has the Friendly Keyword. Smite"
Signal Beam,EOT,4,Bug,2d8+10 ,Spec,"6, 1 Target","On a roll of 18+ or if the Target is Dazed, they lose -2 CS in Special Attack or Special Defense. Smite"
Silver Gale,EOT,3,Bug,2d6+10 ,Spec,"8, 1 Target, Priority","If Silver Gale is used with Priority, it may use the user's Speed Stat as an Offensive Stat instead of their Special Attack."
Silver Wind,At-Will,5,Bug,1d8+8 ,Spec,"4, Ranged Blast 2","If the Weather is Windy, this has the Sureshot Keyword."
Spider Fang,EOT,3,Bug,2d8+10 ,Phys,"Melee, 1 Target, Bite","On a roll of 17+, roll a 1d3. The Target gains that Status Affliction. On a roll of 1, the Target is Paralyzed. On a 2, the Target is Poisoned. On a 3, the Target is Weakened until the end of the next Round."
Spider Web,Scene x2,/,Bug,,Status,"3, 1 Target or Close Blast 2, Versatile","The Target becomes Slowed and is Trapped while Slowed and within 3m of the user. Sureshot."
Steamroller,EOT,5,Bug,2d6+10 ,Phys,"Melee, Pass","If the Target is smaller than the User, they cannot apply Physical Evasion or use Reactions against this Attack. "
Sticky Web,EOT,/,Bug,,Status,"6, Hazard, Swift Action","Choose 8 Spaces within the Range of this Attack to create Web Hazards in, such that all 8 Spaces are Adjacent to at least one other Web Hazard. Enemies that Trigger this Web Hazard become Slowed at the end of their Turn. 

Web Hazard - Spaces with Web Hazards are treated as Slow Terrain. Whenever an Enemy passes through or ends their turn on a Web Hazard, they have their Speed lowered by -3 CS. "
String Shot,EOT,6,Bug,,Status,"Close Blast 2 or 6m, 1 Target; Versatile","All Targets become Slowed. While Slowed this way, they have a -3 Accuracy Penalty. *Grants Threaded"
Struggle Bug,At-Will,5,Bug,1d8+6 ,Spec,"Close Blast 2","On a roll of 17+, the user gains +1 CS in Special Attack."
Swift Sting,At-Will,2,Bug,1d8+6 ,Phys,"Melee, 1 Target, Priority","--"
Tail Glow,Scene,/,Bug,,Status,"Self, Versatile","The user gains +3 CS in Special Attack. Attacks have a -3 Penalty to Accuracy when Targeting the user until the start of their next Turn.*Grants Glow"
Twineedle,At-Will,3,Bug,1d6+5 ,Phys,"Melee, 1 Target ","On a roll of 16+, roll a d2. On a 1, they become Poisoned. On a 2, they become Wounded. Double Strike"
U-Turn,At-Will,2,Bug,2d6+10 ,Phys,"Melee, 1 Target, Dash","After Damage Calculations, the user may Disengage or perform a Full Switch as a Free Action."
Web Shot,EOT,5,Bug,2d6+8 ,Spec,"6, Ranged Blast 2","If this Attack misses all Targets, you may place Web Hazards in all spaces within the Range of this Attack. Enemies that Trigger this Web Hazard become Slowed at the end of their Turn. 

Web Hazard - Spaces with Web Hazards are treated as Slow Terrain. Whenever an Enemy passes through or ends their turn on a Web Hazard, they have their Speed lowered by -3 CS."
X-Scissor,EOT,6,Bug,2d8+10 ,Phys,"Melee, Pass ","X-Scissor Inflicts Wounded on a roll of 18+. If this Attack is used without activating the Pass Keyword, this Effect Range automatically Triggers on a hit. Smite"
Ambush,EOT,3,Dark,2d8+10 ,Phys,"Melee, 1 Target, Priority","If the Target is Flanked, they're treated as Vulnerable against this Attack instead and cannot use Reactions against it. "
Assurance,EOT,3,Dark,2d6+8 ,Phys,"Melee, 1 Target","This Attack's Damage Base is increased by +2 for each time the Target was targeted by an Attack this Round (Max 12). If the Target hit the user with an Attack this Round, this has the Sureshot Keyword."
Backlash,EOT,2,Dark,2d6+10 ,Spec,"Melee, 1 Target","When calculating Weakness and Resistance for Backlash, Fairy Typed Targets calculate damage as if Fairy was weak to Dark. If the Target of this Attack hit the user with an Attack this round, Backlash has the Sureshot Keyword."
Beat Up,Scene x2,/,Dark,,Phys,"Melee, 1 Target","The user and an ally adjacent to the Target may each make a Basic Attack as a Free Action against the Target. These Basic Attacks hit for Dark Type Damage instead of their usual Type."
Bite,At-Will,2,Dark,1d8+8 ,Phys,"Melee, 1 Target, Bite","On a roll of 16+, the Target becomes Wounded."
Blindside,EOT,3,Dark,2d6+8 ,Phys,"Melee, 1 Target","Until the end of your Turn, if you use a Manipulate or Tactics Maneuver against the Target, it has the Sureshot Keyword and you have a Boon to any Opposed Checks. If the Target is Vulnerable or Flanked, they lose -2 CS to Defense or Special Defense."
Brutal Swing,EOT,5,Dark,2d6+10 ,Phys,"Burst 1 ","If a Target hit by this Attack Slides into a Space that is Adjacent to Blocking Terrain, they become Vulnerable against the next Attack that Targets them this Round. Slide 1 (Away)."
Carrion Feast,Scene x2,4,Dark,2d10+10 ,Phys,"Melee, 1 Target, Trigger","If an Adjacent Enemy is hit with an Attack, Carrion Feast can be used against that Enemy as a Standard Action + Reaction after the Attack's resolution. Excess HP from the Drain Keyword is converted into Temporary HP. Drain"
Cackle,Scene x2,3,Dark,,Status,"Burst 1, Sonic, Versatile","Choose a Stat on each Target to lower by -2 CS. If the chosen Stat had a positive CS Value or they're Provoked by the user, they lose -4 CS instead. Friendly."
Chaos Strike,Scene x2,3,Dark,3d12+10 ,Spec,"Melee, 1 Target, Recoil 1/3","On a roll of 16+, the Target gains a Mental Affliction the user is affected by or becomes Suppressed if the user doesn't have any."
Crunch,EOT,3,Dark,2d8+10 ,Phys,"Melee, 1 Target, Bite","On a roll of 17+, the Target either becomes Wounded or loses -2 CS in Defense"
Dark Blade,Scene x2,6,Dark,2d6+10 ,Phys,"Melee, Pass","Dark Blade is a Critical Hit on a roll of 17+. If this Attack misses all Targets, the user becomes Enraged and gains +1 CS in Attack. Spirit Surge"
Dark Pulse,EOT,4,Dark,2d8+10 ,Spec,"8, 1 Target, Aura","On a roll of 18+, the Target becomes Suppressed. If the Weather is Foggy or the user has a Mental Affliction, this may be used as if its Range was Burst 1."
Dark Waves,At-Will,5,Dark,1d8+6 ,Spec,"Burst 1 or 3, 2 Targets","--"
Darkest Lariat,EOT,3,Dark,2d8+10 ,Phys,"Melee, 1 Target","This Attack ignores the Target’s positive Defense CS, Damage Reduction, Blessings, Items, Physical Evasion and Abilities. Smite"
Embargo,EOT,6,Dark,,Status,"5, 1 Target, Swift Action","The Target becomes Marked with an Embargo Mark. While a Combatant is affected by an Embargo Mark, they cannot use or benefit from Equipment Items or Consumable Items and cannot be recalled. "
Fake Tears,EOT,4,Dark,,Status,"Burst 1, Social, Versatile","For each Target, choose Attack or Special Attack. The chosen Stat is lowered by -3 CS. If a Target is Entranced, this cannot miss them. "
False Surrender,EOT,4,Dark,2d8+10 ,Phys,"Melee, 1 Target","If the user is Flanked, False Surrender has the Sureshot Keyword. If the user is Surrounded, False Surrender may be used as if its Range were Burst 1."
Feint Attack,EOT,/,Dark,2d6+8 ,Phys,"Melee, 1 Target ","Sureshot."
Flatter,EOT,2,Dark,,Status,"2, 1 Target, Social, Versatile","The Targeted Enemy becomes Entranced. If this Targets an Ally that has hit an Attack this Round, the Ally gains +2 CS in a Stat of your choice. Sureshot"
Fling,Scene x2,4,Dark,2d8+10 ,Phys,"8, 1 Target ","The user may use the environment or expend an Item in their Inventory to change the Type of Fling, within the GMs Discretion. If an Item is expended, Fling's Effect becomes the Item's Effect as if they used the Throw Maneuver. "
Foul Play,Scene x2,3,Dark,3d8+10 ,Phys,"Melee, 1 Target","The Target reveals its Attack stat. When calculating damage, your Offensive Stat is treated as the Target's Attack value."
Gash,Scene x2,5,Dark,,Status,"Melee, Pass, Versatile","Any Coats of the user’s choice currently affecting the Target are removed. When this Attack hits, the Target becomes Wounded. Spirit Surge"
Hone Claws,EOT,/,Dark,,Status,"Self, Versatile","Choose one of the following to gain a +2 to. Attack CS, Accuracy, Critical Hit Range."
Jaw Lock,Scene x2,4,Dark,2d8+10 ,Phys,"Melee, 1 Target, Bite","On a 15+, the Target cannot use a Movement Action during their next Turn. This Turn, you may perform a Grapple Maneuver against the Target as a Swift Action if desired."
Knock Off,Scene x2,3,Dark,2d6+10 ,Phys,"Melee, 1 Target","When this Attack hits, you may use a Disarm Maneuver as a Free Action against the Target. Perform the Opposed Check with a Boon."
Kowtow Cleave,Scene x2,/,Dark,2d8+10 ,Phys,"Close Blast 2 ","On a roll of 17+, all Targets become Wounded. Sureshot"
Lash Out,EOT,4,Dark,2d8+10 ,Phys,"Melee, 1 Target","If the user is Enraged or has an Affliction, Lash Out is instead DB 12"
Lunar Beam,Scene,4,Dark,2d8+10 ,Spec,"Line X, Set-Up","Charge Effect: If the Weather is Sunny, you cannot use this Charge Effect. If the Weather is Foggy, you instead gain 2 Charge Tokens. 
Resolution Effect: X is equal to 4 plus the number of Charge Tokens you expend. This Attack’s Damage Base is increased by +2 for each Charge Token you expend. Smite"
Marked Prey,Scene x2,3,Dark,,Status,"Melee, 1 Target, Swift Action","The Target becomes Marked with a Scent Mark. The user gains +2 Accuracy and Effect Range against Combatants with a Scent Mark.
*Grants Tracker"
Memento,Scene,/,Dark,,Status,"8, 1 Target, Trigger, Free Action","Memento may be used as a Free Action when the user becomes Fainted, targeting the Combatant who caused it to Faint. Lower each of the Target's stats by -2 CS. Sureshot"
Nasty Plot,EOT,/,Dark,,Status,"Self, Versatile","The user gains +2 CS in Special Attack. Their next Special Attack gains the Smite Keyword."
New Moon,Scene x2,/,Dark,,Status,"Blessing, Versatile, Weather","Blessing - Any user affected by New Moon may activate it as a Free Action when using a Dark Type Damaging Attack to grant it the Smite Keyword. If the Attack hits, it hits, it is also increased by one damage step. (Max 1.5x Effectiveness). New Moon may be Activated 3 times and then disappears. While this Blessing persists, the Weather becomes Foggy."
Night Daze,EOT,6,Dark,2d10+10 ,Spec,"Burst 1","Targets become Dazed on a 16+. If the Weather is Foggy, Night Daze has the Friendly Keyword. "
Night Slash,EOT,5,Dark,2d6+10 ,Phys,"Melee, Pass","Night Slash is a Critical Hit on a roll of 18+."
Obstruct,Scene,/,Dark,,Status,"Self, Coat","The user gains an Obstructed Coat until the start of their next Turn. While they have this Coat, Adjacent Allies cannot be Targeted by 1-Target Attacks, Adjacent Allies resist damage by an additional step and the Enemies cannot move through the space the user occupies. "
Parting Shot,EOT,2,Dark,,Status,"6, 1 Target, Social, Movement Action","The user may perform a Provoke Maneuver against the Target as a Free Action as if it had the Sureshot Keyword. The user then either Disengages or performs a Full Switch, both as a Free Action. If they were Switched out and the Maneuver was successful, they are Provoked by the replacing Pokemon until the end of their next Turn. Sureshot"
Payback,EOT,4,Dark,2d6+8 ,Phys,"Melee, 1 Target","If the Target hit the user with an Attack since the user's last turn, Payback instead has a Damage Base of 12."
Power Trip,Scene x2,4,Dark,1d6+3 ,Phys,"Melee, 1 Target","This Attack gains +2 to its Damage Base for every positive CS held by the user, to a maximum of DB 20. Smite"
Punishment,EOT,4,Dark,1d6+3 ,Phys,"Melee, 1 Target","This Attack gains +2 to its Damage Base for every positive CS held by the Target, to a maximum of DB 20. Smite"
Pursuit,At-Will,2,Dark,1d8+8 ,Phys,"Melee, 1 Target ","The Target becomes Marked with a Pursuit Mark. Whenever an Enemy with a Pursuit Mark moves, you may Slide into an Adjacent Space as a Reaction. If they would exceed a number of spaces more than your Movement Value, you cannot use this Effect. "
Quash,At-Will,5,Dark,,Status,"10, 1 Target, Social, Versatile","If the user has witnessed the Target use an Attack or Ability this Scene, you may choose one of them to become Disabled. When this Attack hits, the Target becomes Suppressed. Spirit Surge."
Ripping Abyss,Scene x2,/,Dark,,Status,"Field, Versatile, Weather","The Field becomes Abyssal for the next 5 Rounds. While the Field is Abyssal, non Dark Type Enemies lose a Tick of Hit Points at the start of their Turn and Dark Type Pokemon gain a Tick of Temporary Hit Points at the start of their Turn. While the Field is Abyssal, the Weather becomes Foggy."
Sabotage,At-Will,3,Dark,1d8+6 ,Spec,"Melee, 1 Target","When this Attack hits, choose a Stat the Target has Positive CS in. They lose -1 CS in that Stat."
Savage Roar,Scene x2,/,Dark,,Status,"Burst 2, Sonic, Social, Versatile","Perform a Command or Intimidate Check. If you get at least 3 Successes, all Targets become Suppressed. Additionally they suffer a penalty to their next Accuracy or Save Check (of your choice) equal to half the number of Successes (Rounded Up). Friendly, Sureshot."
Scornful Vortex,Scene,6,Dark,4d10+10 ,Phys,"Burst 2, Full Action, Reckless","The user loses a Tick of Hit Points for each combatant that takes damage from this Attack. Smite"
Shadow Bolt,Scene,5,Dark,3d8+10 ,Spec,"10, 1 Target ","On a roll of 18+ or if Shadow Bolt misses, roll a 1d3. On a roll of 1, the Target becomes Suppressed. On a 2, the Target becomes Dazed. On a 3, the Target becomes Enraged. If the Weather is Foggy, you may choose instead of rolling a 1d3. Spirit Surge."
Shadow Snare,EOT,5,Dark,2d8+10 ,Spec,"3, 1 Target","The Target becomes Trapped. If the Weather is Foggy, Shadow Snare has the Sureshot Keyword."
Shadow Strike,EOT,3,Dark,2d6+8 ,Spec,"Melee, 1 Target","If the Weather is Foggy, Shadow Strike has a damage base of 10 and the Target cannot apply Speed Evasion against this Attack."
Shadow Veil,Scene x2,/,Dark,,Status,"Blessing, Versatile","Blessing – Any user affected by Shadow Veil may activate it as a Free Action when they’re Targeted by an Attack. The Attacker suffers a -3 Penalty to its Accuracy Roll. If the Weather is Foggy, this instead becomes a -6 Penalty. Shadow Veil may be Activated 2 times, and then disappears."
Siphon Life,Scene x2,5,Dark,2d8+10 ,Spec,"4, 1 Target ","Drain. "
Snarl,At-Will,5,Dark,1d8+8 ,Spec,"Close Blast 2, Sonic","This Attack may also be used as a Full Action to perform a Command or Intimidate Check. For each success, Targets apply -1 less Evasion against this Attack. "
Snatch,Scene x2,/,Dark,,Status,"Self, Trigger","Snatch can only be used as a Reaction whenever an Enemy within 2m uses an Attack with the Self Range. You also gain the benefits of the Triggering Attack. If used as a Standard Action + Reaction, the Enemy does not gain the benefits of the Triggering Attack as well."
Sucker Punch,At-Will,3,Dark,2d6+10 ,Phys,"Melee, 1 Target, Priority, Trigger, Punch","Whenever you’re targeted with an Attack by an Adjacent Enemy, you may use a Standard Action + Reaction to use this Attack. This Attack resolves before the Triggering Attack. If the Triggering Enemy were to faint, their Attack does not resolve. "
Switcheroo,EOT,2,Dark,,Status,"Melee, 1 Target, Versatile","You and the Target are cured of all Status Affliction. Then, the Target is inflicted with all Status Afflictions you were cured of. You are then inflicted with all Status Afflictions that the Target was cured of, if any."
Taunt,EOT,3,Dark,,Status,"4, 1 Target, Social, Versatile","The Target becomes Provoked by you until the end of their next Turn. If they’re already Provoked by you or have been in this Scene, you may instead cause them to become Enraged. Sureshot."
Thief,At-Will,3,Dark,2d6+8 ,Phys,"Melee, 1 Target","You may perform a Disarm Maneuver against the Target as a Free Action. If an Item is disarmed and the user has an empty Inventory Slot, they may add it to their Inventory after Damage Calculations."
Throat Chop,EOT,3,Dark,2d8+10 ,Phys,"Melee, 1 Target","The Target cannot use Attacks with the Sonic keyword until the end of their next Turn."
Topsy-Turvy,Scene x2,6,Dark,,Status,"Burst 2","The user and all Combatants hit by this Attack lose -4 CS in Stats that they have Positive CS in and gain +4 CS in Stats that they have Negative CS in. Any Combatants that this Attack misses instead lose -2 CS in Stats they have Positive CS in. Spirit Surge."
Torment,Scene x2,5,Dark,,Status,"8, 1 Target, Social, Versatile","The Target becomes Suppressed. If this Attack hits, while Suppressed this way, the user cannot cure Mental Afflictions while they're within 3m of the user. Spirit Surge."
Umbral Assault,At-Will,3,Dark,1d8+6 ,Spec,"Melee, 1 Target","Double Strike."
Ancestral Fury,EOT,6,Dragon,2d8+10 ,Phys,"Close Blast 2 ","Ancestral Fury is a Critical Hit on a roll of 18+. This Crit Range is increased by +2 if the user is Enraged or Provoked. After Damage Calculations the user may become Enraged. Spirit Surge."
Breaking Swipe,EOT,5,Dragon,2d6+8 ,Phys,"Close Blast 2","On a roll of 18+, all Targets become Wounded. Smite"
Breath Blast,EOT,5,Dragon,2d6+8 ,Spec,"6, Ranged Blast 2","On a roll of 18+, all Targets become Paralyzed. Smite"
Clanging Scales,Scene x2,6,Dragon,3d10+10 ,Spec,"6, 1 Target or Burst 1, Sonic","The user may add half their Defense Stat to Clanging Scale's Damage Roll. After Damage Calculations, if they do, the user loses -2 CS in Defense."
Clangorous Soul,Scene,/,Dragon,,Status,"Burst 3, Full Action; or Burst 3","The user gains +2 CS in each Stat and all Allies within the range of this Attack gain +1 CS to a Stat of their Choice. This Attack can only be used as a Full Action or as a Standard Action + Reaction upon falling below 50% of their Max Hit Points. If used as a Reaction, the user also gains 2 Ticks of Temporary Hit Points. "
Draco Meteor,Scene,6,Dragon,3d8+10 ,Spec,"10, Ranged Bast 2, Set-Up","Charge Effect: No Effect 
Resolution Effect: You may select a Range for this Attack a number of times equal to the expended Charge Tokens and it Targets all Combatants in these Ranges. These Ranges cannot overlap and an Enemy cannot be Targeted more than once this way. Smite"
Draconic Aura,Scene x2,/,Dragon,,Status,"Blessing, Versatile","Blessing - Any user affected by Draconic Aura may activate it as a Free Action when using a Dragon Type Damaging Attack to grant it the Smite Keyword. If the Attack hits, it hits, it is also increased by one damage step. (Max 1.5x Effectiveness). Draconic Aura may be Activated 3 times and then disappears. "
Draconic Roar,EOT,6,Dragon,,Status,"Burst 2, Sonic, Versatile","Choose a Stat the Target has Positive CS in. They lose -3 CS in that Stat. On a 15+, all you may choose any number of Targets hit to become Provoked by you until the end of their next Turn. Friendly"
Dragon Axe,Scene x2,4,Dragon,3d8+10 ,Phys,"Melee, 1 Target","On Even rolls, the Target becomes Wounded. On Odd rolls, the Target becomes Vulnerable until the end of the Round. Spirit Surge."
Dragon Breath,At-Will,3,Dragon,1d8+6 ,Spec,"6, 1 Target or Line 3","On a roll of 18+, the Target becomes Paralyzed. If this is used as a Line 3 Range, the AC becomes 5."
Dragon Claw,At-Will,3,Dragon,2d8+10 ,Phys,"Melee, 1 Target","If the Target is suffering from a Physical Affliction or has negative Defense Combat Stages, this Attack is treated as one step more Effective but cannot surpass 1.5x Effectiveness. Its Damage Effectiveness can only be increased this way once per Scene per Target."
Dragon Dance,At-Will,/,Dragon,,Status,"Self, Versatile","The user gains +2 CS in Attack. The user is cured of one Physical Affliction."
Dragon Darts,EOT,6,Dragon,1d8+8 ,Phys,"6, 1 Target; or 6, 2 Targets","If this Attack is used as a 1 Target, it has the Double Strike Keyword and has an AC of 4."
Dragon Dash,At-Will,2,Dragon,1d8+6 ,Phys,"Melee, 1 Target, Dash","If the Dash Keyword is Activated, increase the Slide by +2. Slide 2 (Away)"
Dragon Force,Scene x2,5,Dragon,,Status,"Melee, 1 Target, Versatile","The Target loses -3 CS in Defense and Special Defense and you may remove any Coats applied to them. If this Attack hits, they also become Weakened until the end of their next Turn. Spirit Surge."
Dragon Hammer,EOT,6,Dragon,2d10+10 ,Phys,"Melee, 1 Target; or Line 3","If the Target's size is Small, this Attack is treated as one step more Effective but cannot surpass 1.5x Effectiveness. Its Damage Effectiveness can only be increased this way once per Scene per Target. If this is used as a Melee Attack it has the Smite Keyword."
Dragon Pulse,EOT,4,Dragon,2d10+10 ,Spec,"8, 1 Target, Aura","If the Target has negative CS in Special Defense this Attack is treated as one step more Effective but cannot surpass 1.5x Effectiveness. Its Damage Effectiveness can only be increased this way once per Scene per Target."
Dragon Rage,EOT,2,Dragon,,Status,"Self, Swift Action","The user becomes Enraged. If the user is already Enraged, their next Damaging Attack gains the Smite Keyword. This may be used even if the user is Enraged, ignoring its effects. "
Dragon Rush,Scene x2,3,Dragon,3d8+10 ,Phys,"Melee, 1 Target, Dash","If the Dash Keyword is Activated, this Attack ignores Positive CS in Defense. Slide 3 (Away), Smite."
Dragon Spirit,At-Will,/,Dragon,,Status,"Self, Versatile","The user gains +2 CS in Special Attack. The user is cured of one Mental Affliction."
Dragon Tail,EOT,3,Dragon,2d6+10 ,Phys,"Melee, 1 Target","You may perform a Trip Maneuver against the Target as a Free Action. The Maneuver automatically hits but you still need to perform the Opposed Check. "
Dual Chop,EOT,3,Dragon,1d8+8 ,Phys,"Melee, 1 Target","Double Strike. "
Fickle Beam,Scene x2,7,Dragon,2d6+8 ,Spec,"6, 1 Target or 6, 3 Targets","If this Attack has only one Target, it has the Five Strike Keyword and an AC of 4."
Glaive Rush,Scene x2,5,Dragon,3d12+10 ,Phys,"Melee, Pass, Dash, Reckless","On a roll of 15+, the Target becomes Wounded. After Damage Resolution, if the Dash Keyword wasn't Activated, the user is Vulnerable against the next Attack to target them."
Imposing Stare,Scene x2,/,Dragon,,Status,"Close Blast 3, Social, Versatile","The user may perform a Terrorize Maneuver against all Targets as a Free Action. When used this way, the AC becomes 2. All Targets who fail the Opposed Check also become Trapped and during their next Turn their Damaging Attacks are resisted by an additional damage step. Friendly, Sureshot."
Mystic Aura,Scene x2,5,Dragon,2d10+10 ,Spec,"Burst 1, Aura","This Attack does not damage allies. All allies within a Burst 3 of the user gain a +3 bonus to their next Save Check. If the Weather is Mystical, this has the Sureshot Keyword."
Outrage,Scene x2,6,Dragon,3d12+10 ,Phys,"Melee, All Adjacent Enemies, Full Action, Reckless","After Damage Calculations the user becomes Enraged. If the user was Provoked by one of the Targets, this Attack is one more step Effective against them. Smite"
Primal Storm,Scene x2,/,Dragon,,Status,"Field, Versatile","The Field becomes Primal for the next 5 Rounds. While the Field is Primal, non Dragon Type Enemies lose a Tick of Hit Points at the start of their Turn and Dargon Type Pokemon gain a Tick of Temporary Hit Points at the start of their Turn."
Primal Energy,Scene x2,/,Dragon,,Status,"Burst 1 or Self; Set-Up","Charge Effect: At the end of your Turn if you didn’t use a Damaging Attack, gain an additional Charge Token
Resolution Effect: For each Charge Token expended, choose a Target to gain +1 CS in a Stat of your choice. You cannot choose the same Target more than twice unless the only Target is the user. "
Rending Swipe,Scene x2,4,Dragon,2d8+10 ,Phys,"Melee, 1 Target","On Even rolls, the Target becomes Wounded. On Odd rolls, the Target’s Defense is set to -2 CS. If the user is Enraged, this has the Spirit Surge Keyword."
Scale Shield,Scene,/,Dragon,,Status,"Self, Shield, Trigger","If the user is hit by an Attack, the user may use Scale Shield as a Standard Action + Reaction. The user and all Adjacent Targets resist the Attack by an additional Damage Step. Additionally the Triggering Attack is treated as having the Recoil 1/2 Keyword. "
