Name,Effect
Rain Shroud,"Ups evasion by 30% in rain."
Rainbow Scales,"Fire Scales + Taste the Rainbow."
Rat King,"Allies with a BST below 400 get their stats boosted by 50%."
Reaper's Embarce,"Tough Claws + Foul Energy."
Relic Stone,"Other battlers don't benefit from STAB."
Resilience,"Heal 1/4 of max HP whenever below 1/2 health"
Reverberate,"Normal moves are Sound moves."
Rite Of Spring,"Chlorophyll + Solar Power."
Rock Armor,"Rocky Exterior + takes 10% less damage from attacks."
Rocky Exterior,"Adds Rock type on entry."
Royal Decree,"Queenly Majesty + Glare on entry once per battle."
Sand Fiend,"Sand Force + Sand Guard."
Sap Trap,"Lowers foe's speed at the end of turns. At -3 they get trapped."
Scarecrow,"Scare + Bad Luck."
Sepia Lens,"Tinted Lens + Sand Guard."
Serpent Bind,"50% chance to trap, then drop the their speed by -1 each turn."
Sharp Talons,"Kicking moves have a 50% Bleed chance."
Shattered Armor,"Battle Armor + Scrapyard."
Sinister Claws,"Mystic Blades + Keen Edge moves lower SpDef."
Sleek Scales,"The Pokémon uses +15% of its Speed when defending."
Slime Mold,"Sticky Hold + Gooey."
Sludge Spit,"follows up with 35BP Venom Bolt after using an attack."
Smoldering Wood,"Raw Wood + Flame Body."
Soul Harvest,"Fainted Pokemon increase your offenses and spdef by 5%."
Soul Tap,"Drain 10% HP from foes at the end of each turn in fog."
Spyware,"Sharply raises a stat based on foe's strong point."
Stainless Steel,"Fort Knox + Steelworker."
Stonecutter,"Fossilized + Rock moves ignore abilities."
Storm Cloud,"Summon rain on entry for 8 turns. Gain Electric-type STAB."
Strategic Pause,"+2 crit rate when moving last + Analytic."
Strikeout,"Forces the foe out if they don't attack for 3 turns."
Strong Foundation,"Takes 1/2 Water and Ground dmg and can't be forced out."
Sumo Guard,"Juggernaut + Thick Fat."
Sumo Wrestler,"Uses 20BP Circle Throw at the end of each 2nd turn."
Sun's Bounty,"Leaf Guard + Harvest."
Sundae,"Snow Warning + Ice Body."
Super Sniper,"Sniper + Attacks hit switching foes with 1/2 Power."
Superheavy,"Steadfast + blocks phasing moves."
Survivor Bias,"Not very effective moves can't cause fainting."
Swamp Thing,"Sets the Swamp Pledge effect on entry."
Talon Trap,"50% chance to trap on contact. 100% if entered this turn."
Tangled Tails,"Know Your Place + Grappler."
Taste the Rainbow,"Summons the Rainbow Pledge effect on entry."
Temporal Rupture,"Roar of Time is altered drastically."
Tender Affection,"Cute Charm + Fairy STAB"
Tentalock,"Grappler + Serpent Bind."
Thermal Entropy,"Thermal Exchange + Heatproof."
Thermal Slide,"Ups speed by 50% in sun or hail."
Thermomancy,"Pyromancy + Cryomancy."
Thick Blubber,"Take 1/4 damage from fire and ice in return for having 1/2 speed."
Thunder Clouds,"After using a special move, launch a 35 BP Thunderbolt"
Toxic Shell,"Shell Armor + Poison Point."
Toxic Surge,"sets Toxic Terrain on entry."
Tummyache,"Thick Fat + Corrosion."
Turf War,"Destroys terrain and boosts highest stat on entry."
Unrelenting,"All attacking moves can hit 2-5 times"
Unstable Core,"Power Core + Aftermath."
Virus,"Electric moves have 30% chance to poison as well."
Voltron,"Metallic + Battle Armor."
Warmonger,"Boosts the user's rock, steel, and fighting moves by 30%."
Warrior's Spear,"Mighty Horn + Fighting Spirit"
Waterborne,"Aquatic + Adaptability"
We Will Rock You,"Boosts Rock-type moves by 1.3x, or 1.8x when below 1/3 HP."
Wind Chimes,"Amplifier + attacks with 30 BP Hyper Voice when hit."
Wings of Pestilence,"Every attack has a 20% Bleed chance and 10% Curse chance."
Winter Throne,"1/8 Damage each turn to non-ice. Heals Ice 1/8 each turn."
Witch Broom,"Hyper Aggressive + Hover."
Wonder Scale,"Shed Skin + Wonder Skin"
Woodland Curse,"Uses Forest's Curse on Entry. Adds Grass type on contact."
World Serpent,"Long Reach + Grip Pincer."
Wrestle Showman,"Flying Press gains +10BP and causes Taunt."
Zen Garden,"Sets up Grassy or Psychic Terrain at random."
