Move,Freq,AC,Type,Roll,Dmg. Type,Range,Special Effect
Astonish,At-Will,2,Ghost,1d6+5 ,Phys,"Melee, 1 Target","Astonish Flinches the target on 15+. Once perscene, if the target is unaware of the user's presence,Astonish automatically Flinches the target."
Astral Assault,Scene x2,2,Psychic,3d12+10 ,Phys,"Melee, 1 Target, Dash","The user's Defense and Special Defense are eachlowered by -1 Combat Stage."
Astral Barrage,Daily,2,Ghost,3d12+10 ,Spec,"8, Ranged Blast 2, Smite, Friendly","Legal targets hit by Astral Barrage are Slowedfor one full round."
Astral Hand,TBD,TBD,Psychic,TBD,Phys,"TBD","Projects a fist to strike the foe."
Atomic Fire,TBD,TBD,Fire,TBD,Spec,"TBD","A life-risking energy with 50% recoil."
Attack Order,EOT,2,Bug,2d10+10 ,Phys,"6, 1 Target","Attack Order is a Critical Hit on 18+."
Attract,Scene x2,2,Normal,,Status,"3, 1 Target, Social","Attract Infatuates the target if its gender is theopposite of the user's. Attract fails when used by oragainst Genderless targets."
Aura Force,TBD,TBD,Fighting,TBD,Phys,"TBD","Not done yet."
Aura Sphere,EOT,/,Fighting,2d8+10 ,Spec,"8, 1 Target, Aura","Aura Sphere cannot miss."
Aura Tempest,Scene,4,Fighting,4d10+10 ,Spec,"8, Ranged Blast 3, Smite, Aura","Lower the user's Special Attack 2 Combat Stagesafter damage."
Aura Wheel,Scene x2,2,Electric,3d10+10 ,Phys,"Melee, 1 Target","The user's Speed is increased 1 CS."
Aurora Beam,At-Will,2,Ice,2d6+10 ,Spec,"6, 1 Target","Aurora Beam lowers the target's Attack 1 CombatStage on 18+."
Aurora Pillar,Scene x2,4,Ice,2d10+10 ,Spec,"6, 1 Target","Aurora Pillar Blinds Target on 17+."
Aurora Veil,Scene,/,Ice,,Status,"Blessing",""
Autotomize,EOT,/,Steel,,Status,"Self","For the remainder of the Encounter, the user'sWeight Class is one value lower, to a minimum of 1. Ifthe user can, the user's Speed is raised by +2 CombatStages."
Avalanche,EOT,2,Ice,2d6+8 ,Phys,"Melee, 1 Target","When declaring Avalanche, the user doesnothing and may not Shift. At the end of the round, theuser Shifts and uses Avalanche on any legal target. If thetarget damaged the user this round, Avalanche has aDB of 12 (4d10+15 / 40) instead"
Axe Kick,EOT,3,Fighting,3d12+10 ,Phys,"Melee, 1 Target, Dash",""
BDefiant Sting,Scene x2,2,Bug,3d12+10 ,Phys,"Melee, 1 Target, Dash, Recoil 1/3","None"
Baby-Doll Eyes,EOT,2,Fairy,,Status,"4, 1 Target, Priority, Social","The target's Attack is lowered 1 Combat Stage."
Bad Egg,TBD,TBD,Poison,TBD,Spec,"TBD","Throws an egg filled with toxins. Poisons on hit."
Baddy Bad,TBD,TBD,Dark,TBD,Spec,"TBD","Acting badly, attacks. Sets wall, lowering Attack damage."
Ball Toss,TBD,TBD,Normal,TBD,Phys,"TBD","A ball attack. 20% flinch."
Baneful Bunker,Scene,/,Poison,,Status,"Self, Interrupt, Shield, Trigger","If the user is hit by an attack, the user may useBaneful Bunker. The user is instead not hit by theMove. You do not take any damage nor are youaffected by any of the Move's effects. In addition, ifthe triggering attack was Melee ranged, the attackeris Poisoned."
Banished Power,TBD,TBD,Dark,TBD,USE_HIGHEST_OFFENSE,"TBD","Strikes with a forbidden power that empowers the user."
Barb Barrage,EOT,2,Poison,1d6+3 ,Phys,"6, 1 Target, Five Strike","The target is Poisoned on a 17+. Once a Scene,if Barb Barrage's target has a Status Condition, youmay choose to not roll for Five Strike. Instead, treatBarb Barrage as though it automatically rolled an 8 forFive Strike."
Barrage,At-Will,4,Normal,1d6+3 ,Phys,"6, 1 Target, Five Strike","None"
Barrier,Scene x2,/,Psychic,,Status,"Hazard","The user creates a Barrier of psychic energy. Theuser places up to 4 segments of Barrier; each segmentmust be continuous with another segment, and at leastone must be adjacent to the user. These barriers count asblocking terrain and last until the end of the encounteror until they are destroyed. Each Barrier segment is 2meters tall, 1 meter wide, and 2 centimeters thick. Eachsegment has 20 Hit Points, 15 Damage Reduction, andtakes damage as if it was Psychic Typed."
Barrier Bash,EOT,4,Light,,,"Melee, 1 Target, Push 2 meters","User rams the opponent with a field of energy, pushing them 2 meters away. The next"
Baton Pass,At-Will,/,Normal,,Status,"Self","The user is replaced with another pokémonfrom their trainer's roster. All Combat Stage, Coats, and[Stratagems] on Baton Pass' user are transferred to thereplacement. Baton Pass may be used to switch even ifthe user is Trapped."
Battering Ram,TBD,TBD,Dragon,TBD,Phys,"TBD","Charges its whole body forwards with the force of a hammer."
Beak Blast,Scene x2,2,Flying,3d8+10 ,Phys,"6, 1 Target, Priority","Beak Blast must be declared at the start of theround. If the user is hit by a Melee attack this round,their attacker is Burned. At the end of the round, theuser may shift and attack with Beak Blast."
Beam Spam,Scene x2,4,Light,,,"6, 1 Target","This move does damage over time like a vortex effect without trapping. (to escape the"
Beat Up,EOT,/,Dark,,Phys,"Melee, 1 Target","The user and up to two allies adjacent to thetarget may each make a Struggle Attack against thetarget. These Struggle Attacks hit for Dark-Type Damageinstead of their usual Type. Beat Up may trigger PackHunt only once, no matter the number of attacks."
Beatdown,TBD,TBD,Dark,TBD,Phys,"TBD","Hits 2-5 times with an attack flurry."
Beckon,Scene x2,2,Ghost,3d12+10 ,Phys,"7, 1 Target, Sonic","The target immediately Shiftstowards the user, forfeiting their next ShiftAction. This movement does not provokeAttacks of Opportunity. On 17+, the targetadditionally is Trapped."
Beetle Bash,TBD,TBD,Bug,TBD,Phys,"TBD","Attacks with a beetle-like hammer. May confuse."
Beetle Bomb,Scene x2,4,Bug,3d10+10 ,Spec,"6, 1 Target, Smite","Beetle Bomb burns or Poisons the target on 18+."
Behemoth Bash,Scene x2,2,Steel,3d8+10 ,Phys,"Melee, 1 Target","The DB of Behemoth Bash increases by +2 foreach positive CS the target has, to a maximum of DB20."
Behemoth Blade,TBD,TBD,Steel,TBD,Phys,"TBD","Strikes as a sword. It deals 2x damage to Dynamaxed foes."
Belch,Scene x2,4,Poison,3d12+10 ,Spec,"Cone 2","Belch cannot be used if the user has not tradedin a Digestion Buff during this Scene."
Belly Drum,Scene,/,Normal,,Status,"Self","The user gains +6 Attack Combat Stages, andloses Hit Points equal to 1/2 of their Max Hit Points."
Berry Smash,TBD,TBD,Grass,TBD,Phys,"TBD","Deals damage. User eats their berry."
Berserker Horn,TBD,TBD,Fighting,TBD,Phys,"TBD","Spins its body like a drill. High critical-hit ratio."
Bestow,At-Will,--,Normal,,Status,"Melee, 1 Target","The user gives its held item to the target, unlessthe target is already holding an item. Using Bestow is aSwift Action."
Bewitch,Scene x2,5,Fairy,,Status,"6, 1 Target","Effect:The target receives a random status affliction, Roll a 6 Die.1:Burned:2:Frozen3:Paralysis:4:Sleep5:Freez:"
Bide,Scene,/,Normal,,Phys,"Burst 1, Friendly","The user may use Bide as a Reaction Moveupon being Hit by a Damaging Move. During theirnext available turn, the user may Shift and then useBide, causing all Adjacent foes to lose X HP, where Xis the amount of Damage taken since declaring use ofBide (Loss of life through effects such as Poison is not"Damage")."
Big Bang,TBD,TBD,Normal,TBD,Spec,"TBD","Does Damage. Small burn chance."
Bind,Static,/,Normal,,Static,"","The user gains a +1 Bonus to Accuracy Rollsmade to initiate Grapple Maneuvers, and +2 to SkillChecks made to initiate Grapple Maneuvers or gainDominance. Whenever the user gains Dominance in aGrapple, the target of the Grapple loses a Tick of HitPoints."
Bite,At-Will,2,Dark,2d6+8 ,Phys,"Melee, 1 Target","Bite Flinches the target on 15+."
Bitter Blade,EOT,2,Fire,2d10+10 ,Phys,"Melee, 1 Target,","After the target takes damage, the user gato the target."
Bitter Malice,At-Will,2,Ghost,2d6+8 ,Spec,"6, 1 Target","Legal targets hit by Bitter Malice are Stuck andTrapped until the end of their next turn on a 19+.Once a Scene, if Bitter Malice's target has a StatusCondition, you may have Bitter Malice's Damage Basebe 12 instead (3d12+10 / 30)."
Black Magic,TBD,TBD,Dark,TBD,USE_HIGHEST_OFFENSE,"TBD","Not done yet."
Blast Burn,Daily x2,4,Fire,4d10+20 ,Spec,"Close Blast 3, Smite, Exhaust","None"
Blaze Kick,EOT,4,Fire,2d10+10 ,Phys,"Melee, 1 Target","Blaze Kick Burns the target on 19+, and is aCritical Hit on 18+."
Blazing Arrow,TBD,TBD,Fire,TBD,Phys,"TBD","Not done yet."
Blazing Bone,TBD,TBD,Fire,TBD,Phys,"TBD","Hits 2-5 times. +1 priority."
Blazing torque,EOT,2,Fire,3d8+10 ,Phys,"Melee, 1 Targete are each lowered by -1 Combat Stage.ains HP equal to half of the damage they dealtt Stage.",""
Bleakwind Storm,Scene,5,Flying,3d8+10 ,Spec,"6, Ranged Blast 3, Smite","The target is Flinched on a 15+ and Frozen ona 19+."
Blinding Slash,EOT,2,Light,,,"Melee","Blinds Target on a 17+ ."
Blitz Arrow,TBD,TBD,Fighting,TBD,Phys,"TBD","20% flinch chance. arrow based."
Blizzard,Scene x2,7,Ice,3d10+10 ,Spec,"4, Ranged Blast 2, Smite","Blizzard Freezes all legal target on 15+. If thetarget is in Hailing Weather, Blizzard cannot miss."
Block,At-Will,2,Normal,,Status,"Melee, 1 Target","The target is Stuck and Trapped until thebeginning of your next turn."
Block Dropper,TBD,TBD,Ground,TBD,Phys,"TBD","A ball attack. 20% flinch."
Blood Moon,TBD,TBD,Normal,TBD,Spec,"TBD","The user unleashes the spirit from a full red moon."
Blood Shot,TBD,TBD,Dark,TBD,STATUS,"TBD","Makes the target bleed with black magic."
Blue Flare,Scene x2,5,Fire,4d10+10 ,Spec,"10, 1 Target, Smite","Blue Flare Burns the target on 17+."
Blue Moon,TBD,TBD,Ice,TBD,Spec,"TBD","The user unleashes the spirit from a full blue moon."
Body Press,Scene x2,2,Fighting,2d8+10 ,Phys,"Melee, 1 Target","The user's Defense Stat is added to thedamage roll instead of the Attack Stat."
Body Slam,Scene x2,2,Normal,2d10+10 ,Phys,"Melee, 1 Target","Body Slam Paralyzes the target on 15+."
Boiling Flame,TBD,TBD,Fire,TBD,Spec,"TBD","Deals damage. Does increase damage in rain."
Bolt Beak,Scene x2,2,Electric,2d10+10 ,Phys,"Melee, 1 Target","Against targets with a lower initiative thathave not yet acted this round, Bolt Beak deals +10damage."
Bolt Strike,Scene x2,5,Electric,4d10+10 ,Phys,"10, 1 Target, Smite","Bolt Strike Paralyzes the target on 17+."
Bone Club,At-Will,5,Ground,2d6+10 ,Phys,"Melee, 1 Target","Bone Club Flinches the target on 18+."
Bone Rush,EOT,4,Ground,1d6+5 ,Phys,"Melee, 1 Target, Five Strike","None"
Bonemerang,EOT,3,Ground,1d8+8 ,Phys,"6, Double Strike","None"
Bonk,TBD,TBD,Fairy,TBD,Phys,"TBD","Strikes the foe on the head, possibly causing drowsiness."
Boomburst,Scene,2,Normal,4d10+15 ,Spec,"Burst 1, Sonic","None"
Boulder Bash,EOT,3,,,Phys,"5, 1 Target","Boulder Bash has a chance to flinch the target on 18+"
Bounce,Scene x2,4,Flying,2d10+10 ,Phys,"Melee, 1 Target, Dash, Full Action","The user first Shifts, gaining a +1 Bonus toMovement Speed and to their Jump Capabilities. Afterthe user Shifts, they may attack with Bounce. The targetbecomes Vulnerable, and is Paralyzed on 16+."
Bouncy Bubble,TBD,TBD,Water,TBD,Spec,"TBD","An attack that absorbs all the damage inflicted."
Bramble Blast,TBD,TBD,Grass,TBD,Phys,"TBD","30% chance to apply leech seed. Archer boost."
Branch Poke,At-Will,2,Grass,1d8+6 ,Phys,"","2, 1 Target"
Bravado,TBD,TBD,Normal,TBD,Spec,"TBD","Doubles damage if burned, paralyzed, or poisoned."
Brave Bird,Scene x2,2,Flying,3d12+10 ,Phys,"Melee, Dash, Push, Recoil 1/3","The target is pushed back 2 meters."
Break Dance,EOT,/,Fighting,,Phys,"","Break Dance raises user speed on 17+"
Breaking Swipe,EOT,2,Dragon,2d6+8 ,Phys,"Close Blast 2","The target's Attack is lowered 1 CS."
Brick Break,At-Will,2,Fighting,2d8+10 ,Phys,"Melee, 1 Target","Light Screen,Reflect,Aurora Veil etc may not be activated inresponse to Brick Break."
Bright Bolt,EOT,2,Light,,,"4, 1 Target","Bright bold blinds the target on 19+."
Bright Punch,Scence x2,2,Light,,,"Melee, 1 Target","When calculating damage, the target subtracts their Special Defense instead of their"
Brine,Scene x2,2,Water,2d6+10 ,Spec,"6, 1 Target","If the target's Hit Points are under 50%, Brine'sDamage Base is increased to Damage Base 13 (4d10+10/ 35)."
Brutal Beatdwon,EOT,2,Dark,2d6+8 ,Phys,"","Burst 1"
Brutal Swing,Scene x2,2,Dark,3d12+10 ,Phys,"Melee, 1 Target, Dash","The user's Defense and Special Defense are eachlowered by -1 Combat Stage."
Bubble,At-Will,2,Water,1d8+6 ,Spec,"Burst 1","Bubble lowers the target's Speed on 16+."
Bubble Beam,At-Will,2,Water,3d6+10 ,Spec,"4, 1 Target","Bubble Beam lowers the target's Speed on 18+."
Bug Bite,At-Will,2,Bug,2d6+8 ,Phys,"Melee, 1 Target","If the target has a stored Digestion Buff or hastraded in a Digestion Buff this Scene, the user may gainthe effects of the Digestion Buff. This does not counttowards the usual limit on the user's Digestion Buffs."
Bug Buzz,Scene x2,2,Bug,2d10+10 ,Spec,"Cone 2 or Close Blast 2, Sonic, Smite","Bug Buzz lowers the Special Defense of all targetson 19+."
Bulk Up,EOT,/,Fighting,,Status,"Self","Raise the user's Attack 1 Combat Stage and raisethe user's Defense 1 Combat Stage."
Bulldoze,EOT,2,Ground,2d6+8 ,Phys,"Burst 1","All Legal Targets are lowered 1 Speed CombatStage."
Bullet Punch,At-Will,2,Steel,1d8+6 ,Phys,"Melee, 1 Target, Priority","None."
Bullet Seed,EOT,4,Grass,1d6+5 ,Phys,"6, 1 Target, Five Strike","None"
Burn Up,Daily x2,2,Fire,4d10+10 ,Spec,"Burst 1, Smite","Until the end of the encounter, the user losesits Fire-Type. Pure Fire-Types instead becomeNormal-Type."
Burning Bulwark,TBD,TBD,Fire,TBD,STATUS,"TBD","The user's intensely hot fur protects from attacks."
Burning Jealousy,EOT,2,Fire,2d6+10 ,Spec,"Burst 1, Spirit Surge","After Burning Jealousy has resolved, the usermay choose to Burn foes within 5m that have had anyCS raised since the beginning of that foe's last turn.This Effect may trigger only once per Scene."
Burning Knee,Scene x2,2,Fire,2d10+10 ,Phys,"Burst 1, Spirit Surge","Flinch target on 12 or 14 , burn target on 18+"
Burning Thunder,Scene x2,2,Electric,2d8+10 ,Spec,"5, 1 Target","Burning Thundeer Burns the target on 15+."
Burst Light,EOT,2,Light,,,"Burst 2","Blind the target on roll 19+"
Butterfly Knife,At-Will,3,Fairy,1d8+6 ,Phys,"Melee, 1 Target","If Butterfly Knife is used successfully andconsecutively on the same target, the Damage Base isincreased by +4 to a maximum of 16. For example, thefirst hit would have a DB of 4; the second hit a DB of 8;the third hit a DB of 12; the fourth and further hits a DBof 16. If Butterfly Knife misses or fails to damage its target,its Damage Base resets."
Buzzing Kick,EOT,/,Bug,,Phys,"","Buzzing Kick dmage base is increased by 2 for every Beast Boost activation of the user or allies during theScene."
Buzzy Buzz,TBD,TBD,Electric,TBD,Spec,"TBD","Shoots a jolt of electricity that always paralyzes."
Calm Mind,EOT,/,Psychic,,Status,"Self","Raise the user's Special Attack 1 Combat Stageand raise the user's Special Defense 1 Combat Stage."
Caltrops,TBD,TBD,Steel,TBD,STATUS,"TBD","Spreads dangerous spikes that inflict bleeding."
Camouflage,EOT,/,Normal,,Status,"Self","The user changes their Type to match the field.Forests and grassy areas change the user into Grass-Type. Watery areas change the user into Water-Type.Caves and Mountains could change the user into Rock-Type or Ground-Type. An icy terrain would turn theuser into Ice-Type. A building may change the user intoSteel-Type or Normal-Type. Weather affects what Typethe user becomes. Use common sense, if you are havingdifficult determining what type the user should become,consult the GM."
Captivate,Scene,2,Normal,,Status,"Cone 2, Friendly, Social","Captivate lowers the target's Special Attack 2Combat Stages. Captivate may not affect somethingthat is the same gender as the user or something that isgenderless."
Ceaseless Edge,Scene x2,4,Dark,2d6+10 ,Phys,"Melee, 1 Target","The target is put in a Vortex. Ceaseless Edge isa Critical Hit on a 19+."
Celebrate,TBD,TBD,Normal,TBD,STATUS,"TBD","Congratulates you on your special day."
Cement Throw,EOT,3,Rock,2d6+10 ,Phys,"4, 1 Target","Cement Throw lowers Target speed by 1 CS on 17+. If used on rainy weather Cement throw lowers Target'sSpeed on hit and if Used on a Sunny weather Damage Base is increased by 3."
Charge,EOT,/,Electric,,Status,"Self","If the user performs an Electric Move on theirnext turn that deals damage, add its Damage Dice Rollan extra time to the damage. Raise the user's SpecialDefense 1 Combat Stage."
Charge Beam,At-Will,4,Electric,1d8+8 ,Spec,"6, 1 Target","If Charge Beam successfully hits a target, roll1d20. On a roll of 7+, the user's Special Attack is raisedby +1 Combat Stage."
Charm,EOT,2,Fairy,,Status,"6, 1 Target, Social","Charm lowers the target's Attack 2 CombatStages."
Chatter,At-Will,2,Flying,2d6+10 ,Spec,"4, 1 Target, Sonic","Chatter confuses all targets on 16+."
Cheap Shot,TBD,TBD,Dark,TBD,Phys,"TBD","The user sneaks into the shadows, then attacks."
Chiller,TBD,TBD,Ice,TBD,Phys,"TBD","Hits 3 times with snowballs."
Chilling Water,EOT,2,Water,1d8+8 ,Spec,"5, 1 Target",""
Chilly Reception,At-Will,/,Ice,,Status,"Field","The weather is changed to Snowy for 5 tuin the same turn. A new pokémon may immediatTrapped user be recalled."
Chip Away,EOT,2,Normal,2d6+10 ,Phys,"Melee, 1 Target","Ignore any Armor, Damage Reduction, orchanges in the target's Defense or Special Defense (suchas from Combat Stages) when calculating damage."
Chloroblast,Daily,3,Grass,3d12+10 ,Spec,"Line 8, Smite, Spirit Surge","The user's Hit Points are reduced by 50% oftheir full Hit Point value. This Hit Point loss cannot beprevented or reduced in any way."
Chomp,EOT,2,,2d10+10 ,Phys,"Melee , 1 target , Priority","None"
Circle Throw,At-Will,4,Fighting,2d6+8 ,Phys,"Melee, 1 Target, Push","The target is Pushed 6 meters minus their WeightClass. On 15+, the target is also Tripped."
Clamp,Static,/,Water,,Static,"","The user gains a +1 Bonus to Accuracy Rollsmade to initiate Grapple Maneuvers, and +2 to SkillChecks made to initiate Grapple Maneuvers or gainDominance. Whenever the user gains Dominance in aGrapple, the target of the Grapple loses a Tick of HitPoints."
Clanging Scales,Scene x2,2,Dragon,3d10+10 ,Spec,"6, 1 Target or Burst 1","The user adds half their Defense Stat toClanging Scale's Damage Roll. After the Move isresolved, the user's Defense is lowered by 1 CS."
Clangorous Soul,Scene,/,Dragon,,Status,"Self","The user loses 1/3rd of their Max Hit Pointsand has each of its stats raised by +1 Combat Stage."
Clay Dart,TBD,TBD,Ground,TBD,Phys,"TBD","Not done yet."
Clayball,At-Will,3,Ground,1d8+6 ,Spec,"4, 1 Target, Dash Push","The user may push the target up to2 meters away."
Clear Skies,TBD,TBD,Normal,TBD,STATUS,"TBD","Clears the weather and prevents new weather."
Clear Smog,Scene x2,/,Poison,1d8+8 ,Spec,"6, 1 Target","The target's Combat Stages are reset to theirdefault, and all Coats on the target are destroyed. ClearSmog cannot miss."
Cleasing Light,Scene x2,/,Light,,Status,"","The Combat Stages of the user and all Pokémon and Trainers in the encounter are set totheirdefault state (usually 0)."
Close Combat,Scene x2,2,Fighting,3d12+10 ,Phys,"Melee, 1 Target, Dash","The user's Defense and Special Defense are eachlowered by -1 Combat Stage."
Coaching,EOT,/,Fighting,,Status,"Burst 1","The user and any allies in the Burst have theirAttack and Defense raised by 1 CS."
Coil,Scene x2,/,Poison,,Status,"Self","Raise the user's Attack 1 Combat Stage, raise theuser's Defense 1 Combat Stage, and the user gains +1Accuracy."
Collision Course,Scene x2,2,Fighting,3d8+10 ,Phys,"Melee, 1 Target, Dash, Pass",""
Combat Torque,EOT,2,Fighting,3d8+10 ,Phys,"Melee, 1 Target",""
Comet Punch,At-Will,4,Normal,1d6+3 ,Phys,"Melee, 1 Target, Five Strike","None"
Comeuppance,Scene,/,Dark,,Phys,"Burst 2","Comeuppance causes all targets in the buof direct Damage the user has taken since the bemiss."
Coming of Light,Scence,6,Light,,,"8 range, Blast","Coming of light blinds the target on a 16+"
Concoction,TBD,TBD,Grass,TBD,Phys,"TBD","Damages and uses a berry."
Confide,At-Will,2,Normal,,Status,"4, 1 Target, Social","The target's Special Attack is lowered 1 CombatStage."
Confuse Ray,Scene x2,2,Ghost,,Status,"6, 1 Target","The target is Confused."
Confusion,At-Will,2,Psychic,1d8+8 ,Spec,"6, 1 Target","Confusion Confuses the target on 19+."
Constrict,At-Will,2,Normal,1d6+1 ,Phys,"Melee, 1 Target","Constrict lowers the target's Speed 1 CombatStage. Constrict may be used as a Swift Action againsttargets the user is Grappling, and automatically hitswhen performed this way."
Conversion,At-Will,/,Normal,,Status,"Self","The user becomes the elemental Type of theirchoice as long as they have a Move that is the sameelemental Type until the end of the encounter. Replaceall other Types."
Conversion 2,TBD,TBD,Normal,TBD,STATUS,"TBD","Boosts SpAtk and Speed and changes type."
Conversion2,At-Will,/,Normal,,Status,"Self","The user becomes the elemental Type of theirchoice as long as the Type resists the elemental Type ofthe Move it last took damage from until the end of theencounter. Replace all other Types."
Copycat,Scene x2,/,Normal,,Status,"4, 1 Target","Use the Move the target has used on their lastturn. You may choose new targets for the Move. Copycatcannot miss."
Core Enforcer,Daily x2,2,Dragon,3d8+10 ,Spec,"6, Ranged Blast 3, Spirit Surge","Each target has its Ability disabled until theend of the encounter. If a target has more than oneAbility, you choose one of them to disable."
Corona,Daily x1,/,Light,,StatusDamage Base,"","Corona cannot miss. All targets, including"
Corrode,EOT,2,Poison,,Spec,"+6, 1 Target","When calculating Weakness and Resistance"
Corrosive Gas,EOT,2,Poison,,Status,"Burst 1","Targets hit have their current Held Item(s)unable to be used for the remainder of the Scene. Inaddition, Steel-Type targets hit lose their immunity toPoison until they Faint or Take A Breather; Poisoninstead counts as neutral against Steel."
Cosmic Contagion,Daily x2,/,Poison,,Spec,"","Effect:Choose Either Poison or Rock this move does damage of the choosen type Additionally:If Poison Type is Choosen Set a layer of toxic Spikes arround the target:"
Cosmic Power,EOT,/,Psychic,,Status,"Self","Raise the user's Defense 1 Combat Stage andraise the user's Special Defense 1 Combat Stage."
