Name,Effect
Armor Tail,"Static
Effect: The user and any allies in adjacent spaces cannot be targeted by moves using the Priority of Interrupt
keywords. Interrupt Moves may not be declared in response to the user's actions. Defensive"
Aroma Veil,"Static
Effect: The user and all Pokémon and Trainers within 3 meters cannot be Confused, Enraged, or Suppressed.
Defensive."
Artillery,"Static
Effect : The user gains +3 bonus to accuracy for mega launcher moves."
As One,"Static
Unerve + Chilling Neigh if mount is Ice
Unerve + Grim Neigh if mount is Ghost"
Assassin's Tools,"Contact moves have a 30% chance to PSN, PRLZ, or BLD."
Astral Forme,"Daily - Interrupt
Self
For the triggering attack, you can consider yourself the Ghost type. You change to Ghost type for the rest of
the Scene. Resolve the attack as normal."
Atlas,"Sets Gravity on entry for 8 turns."
Atomic Burst,"When hit super-effectively, triggers 50 BP Hyper Beam."
Atomic Punch,"Iron Fist + Steelworker."
Aura Break,"Static
themselves or their allies."
Aura Storm,"Static
Effect: For each injury the user has, they gain a +3 Damage bonus to all Moves with the Aura keyword.
Additionally, while the user is at or under ½ of their Max Hit Points, they gain a +3 Damage Bonus to all
Moves with the Aura Keyword."
Aurora Borealis,"Static
Ice moves gain STAB and +1 Damage Base"
Avenger,"Static
If an ally pokemon or trainer has fainted next user's attack gains +10 damages."
Bad Company,"Not implemented right now. Has no effect."
Bad Dreams,"Static
Effect: At the beginning of the user’s turn, all Sleeping Pokémon or Trainers in a Burst 5 lose a Tick of Hit
Points."
Bad Luck,"Effect: The user is immune to Critical Hits; they are instead normal hits and attacks targeting user get +1 AC
(Accuraccy required to hit increased by one). Defensive."
Bad Omen,"Foes min roll and may miss. Takes 1/4 damage from crits."
Ball Fetch,"Scene – Free Action, Reaction
Trigger: A Pokémon is Released onto the battlefield
Effect: The user may move up to their speed as a Free Action. They must end this movement closer to the
triggering Pokémon."
Balloon Blitz,"Inflatable + Hyper Aggressive."
Balloon Bomb,"Aftermath + Inflatable"
Banshee,"Sound moves get a 1.2x boost and become Ghost if Normal."
Bass Boosted,"Amplifier + Punk Rock."
Battery,"Scene x2 – Swift Action
Target: An Adjacent Ally
The target's next Special Attack deals +2d6+4 damage. If that attack is Electric-Typed, it deals +3d6+6 more
damage instead."
Battle Armor,"Static
Effect: The user is immune to Critical Hits; they are instead normal hits and lowers damages by 5 for every 20
of the User Level . Defensive"
Battle Aura,"Boosts each battler's crit rate by +2."
Battle Bond,"Transforms into Battle Bond form after dealing a KO."
Beads of Ruin,"Static
Effect: The Special Defense of all other Pokemon within 5 meters of the user is lowered by -1 Combat Stage"
Beam Cannon,"Static
Effect: The Effect Range and Critical Hit Range of the user’s Ranged, 1-Target Moves are increased by 3."
Beast Boost,"At-Will – Free Action
Trigger: The user’s Damaging Attack causes an opponent to Faint
The user receives +1 Combat Stage in their highest non-HP stat."
Beautiful,"Scene – Swift Action
Effect: The user may activate Beautiful to either gain +2 Beauty Dice in a Contest, or to cure any adjacent
targets of the Enraged Condition."
Beautiful Music,"Sound-based moves have 50% chance to infatuate the foe."
Berry Storage,"Daily – Extended Action
Trigger: The user eats a Berry
Effect: The user gains 3 instances of the Berry’s Digestion Buff instead of 1. It may only trade in one of these
Digestion Buffs each Scene. Neither storing nor trading in these Digestion Buffs counts against the user’s
normal limits. All Digestion Buffs gained from Berry Storage are lost after an Extended Rest."
Berserk,"At-Will – Free Action
Trigger: The user’s drops to half HP or below for the first time in an encounter, or becomes Enraged
The user receives +1 Special Attack Combat Stage."
Berserk DNA,"Sharply ups highest attacking stat but confuses on entry."
Berserker Rage,"Berserk + Rampage."
Big Leaves,"Static
User gains the following abilities : Chlorophyll, Harvest, Leaf Guard, Solar Power"
Big Pecks,"Static
Effect: The user cannot have its Defense Stat lowered. The user cannot have its Defense Combat Stages
lowered. Defensive.
Contact Moves Gain +1DB"
Big Swallow,"Static
Effect: Connection - Stockpile. Whenever the user uses Swallow or Spit Up, it may treat the Stockpile Count as
if it was one higher. This Ability has no effect if the Stockpile Counter is already 3."
Blade Dance,"Triggers 50 BP Leaf Blade after using a dance move."
Blade's Essence,"Keen Edge + Mystic Blades."
Blademaster,"Sweeping Edge + Keen Edge."
Blaze,"Static
Effect: The user gains Last Chance with Fire."
Blaze Boost,"Scene x2 – Swift Action
Trigger: The user rolls a Critical Hit with a damaging Fire Type Move or causes an opponent to Faint with a
damaging Fire Type Move
Effect: The user gains +1 Combat Stage in Attack, Special Attack, and Speed."
Blazing Aura (fire aura),"Static
Effect: The user and all allies have the Damage Base of their damaging Fire Type Attacks increased by +1."
Blessed Touch,"Daily x2 – Standard Action
Effect: An adjacent Pokémon or Trainer gains Hit Points equal to 1/4th of its maximum Hit Points."
Blight Scale,"Multiscale + Poison Point"
Blind Rage,"Scrappy + Mold Breaker."
Blitz Boxer,"At full HP, gives +1 priority to this Pokémon's punching moves."
Blood Bath,"Immune to bleed. Inflict fear when inflicting bleed."
Blood Price,"Does 30% more damage but lose 10% HP when attacking."
Blood Stain,"Is always bleeding if not immune. Spreads on contact."
Blood Stigma,"Immune to status. Gets a 50% boost vs bleeding foes."
Bloodlust,"Blood Bath + Soul Eater."
Blow Away,"Static
Effect: Connection - Whirlwind. When the user uses Whirlwind, all targets hit lose a Tick of Hit Points."
Blur,"Static
Effect: Attacks and Moves targeting you that don’t require an Accuracy Check now require one, as though
they had an Accuracy Check of 2. You may only apply half of your Evasion to these Attacks and Moves.
Defensive."
Bodyguard,"Scene – Free Action
Trigger: A cardinally adjacent Ally is hit by an attack
Effect: The user and the target switch places, and the user becomes the target of the attack instead, taking
damage from the attack as if resisted one step further. If switching places would not move the triggering Ally
out of the area-of-effect of a Burst, Blast, Cone, or Line, this Ability does not prevent the ally from being hit.
Defensive."
Bone Lord,"At-Will - Free-Action
You hit with Bone Club, Bonemerang, Bone Rush, or Shadow Bone
Effect': 'Connection – Bonemerang. Once per Scene per Move, the following Moves may be used as if they
had the following bonuses: Bone Club: Bone Club's target loses 1 Defense and Special Attack CS.
Bonemerang: Has a Range of Line 6 but loses the Double Strike keyword Bone Rush: Bone Rush automatically
‘hits' four times (as per the Five Strike keyword). Shadow Bone: Burns the target on 15+."
Bone Wielder,"Static
Effect: This ability is only functional if the user is holding a Thick Club item. The user gains a +1 Accuracy
Bonus to Bone Club, Bonemerang, and Bone Rush. Additionally, the user cannot be disarmed, or have their
Thick Club forcefully removed by Trick, Switcheroo, Thief, or any other Moves or effects unless the user wishes
it."
Bone Zone,"Bone moves ignore immunities and deal 2x on not very effective."
Brawling Wyvern,"No guard + Dragon type moves become punching moves."
Breakwater,"Swift Swim + Stall."
Brightness,"Static
Effect: The user gains Last Chance with Light."
Brimstone,"Static
Effect: Whenever the user causes a Burn with a damaging Fire-Type Attack, the target is also Poisoned."
Brute Force,"Rock Head + Reckless"
Bulletproof,"Static
Effect: The user resists all X target ranged attacks one step further. This refers to attacks and Moves that
simply hit one target or specify hitting multiple targets, such as Razor Wind hitting three targets. It has no
effect on Moves that are capable of hitting multiple targets through areas of effect, such as Bursts or Cones.
Defensive."
Bully,"Scene – Free Action
Trigger: The user hits a target for Super-Effective Damage with a Melee Move
Effect: The target of the attack is pushed 2 Meters, becomes Tripped, and gains an Injury"
Butter Up,"Hospitality + Soothing Aroma"
Buzzing Aura (bug aura),"Static
Effect: The user and all allies have the Damage Base of their damaging Bug Type Attacks increased by +1."
Calculative,"Analytic + Neuroforce."
Caretaker,"Healer + Friend Guard."
Catastrophe,"Sun boosts Water. Rain boosts Fire."
Cave Crasher,"Static
Effect: The user resists Ground-Type and Rock-Type attacks one step further. Defensive."
Celebrate,"At-Will – Free Action
Trigger: The user causes a foe to Faint by using a damaging attack
The user increases their Speed by 1 Combat Stage and may immediately take an additional Shift Action to
move as if they were Slowed. This Ability may only be activated if the user is not prevented from shifting"
Celestial Blessing,"Recovers 1/12 of its health each turn under Misty Terrain."
Champion's Entrance,"Intimidate + Violent Rush"
Change of Heart,"Uses Heart Swap on switch-in."
Cheap Tactics,"Frequency: At-Will - Free Action
Target: The user rolls a natural 3, 7, or 13 on an attack roll with a contact move
After the triggering attack is resolved, the user may use the move Scratch as a Free Action. Note: Yes, Scratch
made due to Cheap Tactics may trigger Cheap Tactics."
Cheating Death,"Gets no damage for the first two hits."
Cheek Pouch,"This ability has no effect."
Chemical Romance,"Static
Connection – Sweet Scent. Whenever the user hits a male target with Poison Gas, Smog, Sweet Scent, Toxic, or
Venom Drench, that target becomes Infatuated with the user."
Cherry Power,"Daily – Swift Action
Effect: The user gains 15 Temporary Hit Points, and is cured of all Persistent Status Afflictions."
Chilling Neigh,"At-Will – Free Action
Trigger: The user causes a foe to Faint with a damaging attack
Effect: The user’s Attack is raised by 1 Combat Stage. In addition, all foes within 3m of the user take a -2
penalty to evasion for one full round."
ChillngNeigh,"KOs raise Attack by one stage."
Chlorofury,"Daily – Swift Action
Effect: The user gains +1 Combat Stage in Special Attack and Special Defense"
Chlorophyll,"Static
Effect: While in Sunny Weather, the user gains +4 Speed Combat Stages."
Chloroplast,"Weather Ball, Solar Beam/Blade, Growth act as if used in sun."
Christmas Spirit,"Static
While Snowing the user resists all incoming Attacks one step further . Defensive"
Chrome Coat,"Reduces special damage taken by 40%, but decreases Speed by 10%."
Chunky Bass Line,"Triggers a 40BP Earthquake after using a sound move."
Clap Trap,"Counters contact with 50BP Snap Trap."
Clay Cannons,"At-Will – Swift Action
Effect: Until the end of the round, the user may originate any Ranged Move they use from any square adjacent
to itself."
Clear Body,"Static
Affictions may still alter their Combat Stages. Defensive."
Cloud Nine,"Scene – Free Action
Effect: The weather of the field is set to normal."
Clueless,"Static
Ignores Weather, Rooms and Terrains effects.Defensive"
Cluster Mind,"Static
Effect: The user’s Move Pool limit is increased by +2."
Coil Up,"Scene – Free Action
Effect: The user may use a bitting move as if it had Priority keyword."
Cold Plasma,"Electric type moves now inflict burn instead of paralysis."
Cold Rebound,"Scence x2
Attacks with Icy Wind when hit by contact move."
Color Change,"At-Will – Free Action
Trigger: The user is hit by a Move
Effect: The user’s Type changes to match the Type of the triggering Move."
Color Spectrum,"Same-type attacks get a 1.2x boost. Changes type each turn."
Color Theory,"Static
Effect: Upon gaining this ability at Birth, the user rolls 1d12 to determine the color of their tail secretions.
1 = Red;
2 = Red-Orange;
3 = Orange;
4 = YellowOrange;
5 = Yellow;
6 = Yellow-Green;
7 = Green;
8 = Blue-Green;
9 = Blue;
10 = Blue-Violet;
11 = Violet;
12 = Red-Violet.
Red is tied to Attack.
Orange is tied to Defense.
Yellow is tied to Special Attack.
Green is tied to Special Defense.
Blue is tied to Speed.
Violet is tied to HP.
Users with a “Pure” Color (Red, Orange, Yellow, etc) gain a +6 Bonus to the Base Stat tied to their color. Users
with a “Mixed” Color (Red-Orange, Yellow-Orange, etc) gain a +3 Bonus to each Stat tied to the color"
Comatose,"At-Will – Move Action
The user falls Asleep, and regains a Tick of Hit Points.
Bonus: The user may act normally while Asleep and ignores all other penalties from being Asleep. While
Asleep, the user does not make Save Checks to wake up, and wakes up from being hit only if they want to."
Combat Specialist,"Boosts the power of punching and kicking moves by 1.3x."
Combo Striker,"Frequency: At-Will - Free Action
Target: The user rolls a natural 1, 10, or 11 on an attack roll with a damaging move
Effect: After the triggering attack is resolved, the user may use a Struggle Attack as a Free Action. Note: Yes,
Struggle Attacks made due to Combo Striker may trigger Combo Striker."
Combustion,"Boosts the power of Fire-type moves by 1.5x."
Commander,"At-Will - Swift Action
Target: An adjacent Ally
Effect: The user Attaches to the target. While Attached, the user occupies the target's square and replaces
their Movement capabilities with the target's. The user and target may Intercept attacks for each other as a
Free Action. Bonus: While Attached, the target may use Order Up as though it were on their Move List."
Competitive,"Static
the user’s Special Attack is raised 2 Combat Stages."
Compound Eyes,"Static
Effect: The user gains a +3 Bonus to all Accuracy Rolls."
Confidence,"Scene – Standard Action
Effect: Choose a Combat Stat. All allies within 5 meters of the user gain +1 CS in the Chosen Stat."
Conflagrate,"At-Will - Free Action
Trigger: The user uses a Normal-Type or Sound-Type damaging Move
The Move is changed to be Fire-Type and gains +1 Damage Base."
Conjurer Of Deceit,"Magic Guard + Magic Bounce"
Conqueror,"Scene – Free Action
Trigger: The user causes a foe to Faint by using a damaging Physical or Special Attack
Effect: The user’s Attack, Special Attack, and Speed gain +1 Combat Stage."
Contempt,"Unaware + Defiant."
Contrary,"Static
Effect: If something would raise the user’s Combat Stages, it instead lowers the user’s Combat Stages by the
same amount. If something would lower the user’s Combat Stages, it instead raises the user’s Combat Stages
by the same amount."
Copy Master,"Static
Effect: Connection - Copycat. Whenever the user uses Copycat or Mimic, it gains +1 Combat Stage in a Stat of
its choice after the Move is resolved."
Corrosion,"Static
The user's Poison-Type attacks are super effective against Steel type."
Corrosive Toxins,"Scene – Free Action
Effect: Connection - Toxic. The user may activate this Ability when using Toxic to allow the Move to ignore
being Badly Poisoned (such as Magic Guard or Poison Heal)."
Corrupted Mind,"Psychic moves ignore resists and get 1.4x effect chance."
Cosmic Daze,"2x damage vs confused. Enemies take 2x confusion damage."
Costar,"Scene - Free Action
Target: An ally within 5 meters with positive Combat Stages
Effect: The user's Combat Stages are changed to match the target's Combat Stages."
Cotton Down,"Scene – Free Action, Reaction
Trigger: The user is hit by an attack
Effect: All Pokémon in a Burst 1 around the user have their speed lowered by 1 CS, and are Slowed for one full
round. Defensive."
Courage,"Static
Effect: While at or under 1/3rd of its Max Hit Point value, the user gains a +5DB to all Damage Rolls, and 5
Damage Reduction per 20 levels of the User Defensive."
Covert,"Static
Effect: If this Pokémon is standing on a terrain related to its natural habitat, its Evasion is increased by +2. For
Ice types, this is generally snowy or icy terrain; Ground and Ground types are apt to feel at home in sandy
terrain or craggy rocks; Grass types, Bug Types, and others likely feel at home in long grass. Some Pokémon
may be at home in several types of terrain."
Coward,"Scene – Free Action
Trigger: When the user enters the battle
The user gains one tick of Hit Points as provisoiry HP. Defensive"
Crowned King,"Unnerve + Grim Neigh + Chilling Neigh."
Crowned Shield,"Dauntless Shield + Stamina."
Crowned Sword,"Intrepid Sword + Anger Point."
Cruelty,"Scene – Swift Action
Effect: After Damage is Resolved, the foe gains an Injury. The user is then informed of the total number of
Injuries currently on the target, and may use that number to “purchase” the effects listed below.
» 1 Injury: The target loses 2 Hit Points. May be “purchased” multiple times.
» 1 Injury: The target is Slowed.
» 2 Injuries: Until the end of the encounter, the target may not gain Hit Points or Temporary Hit Points from
any source. This effect ends if the target is switched out or Takes a Breather."
Crush Trap,"Scene – Free Action
Trigger: The user successfully Grapples a target
Effect: Connection – Wrap. When you activate this ability, the user may immediately deal damage to the target
as if the user had hit with a Struggle Attack. There is no Accuracy Roll and thus this damage cannot miss, be a
Critical Hit, or trigger any Effect Ranges."
Crust Coat,"Immune to critical hits. Takes 20% less damage from attacks."
Cryo Architect,"Boosts Attack and Def when hit by Water or Ice."
Cryo Proficiency,"Triggers hail when hit. 30% chance to frostbite on contact."
Cryomancy,"Moves inflict frostbite 5x as often."
Crystallize,"Static
Rock moves become Ice and gain DB +1."
Cud Chew,"Scene - Swift Action
Effect: The user may consume a single Digestion buff twice before it is consumed"
Curious Medicine,"Scene – Swift Action
Special: The user may instead trigger this as a Free Action Reaction when entering the field
Effect: All allies within 2m of the user have their CS reset to their default values."
CuriusMedicn,"Resets its ally's stat changes on entry."
Cursed Body,"Scene – Free Action
Trigger: The user is hit by a Damaging Move.
Effect: The Move becomes Disabled."
Cute Charm,"Scene – Free Action
Trigger: A foe of the opposite gender attacks the user with a Melee Attack
Effect: The foe becomes Infatuated."
Cute Tears,"Scene – Free Action
Trigger: The user is hit by a Damaging Attack
Effect: The attacking foe loses 2 Combat Stages in the Attack Stat used by the triggering Move"
Cutthroat,"The first slicing move used on each entry in gets +1 priority."
DNA Scramble,"Changes forms based on the the move used."
Damp,"Static
Effect: The Moves Self-Destruct and Explosion may not be used when a Pokémon with Damp is within 10-
meters of Self-Destruct or Explosion’s user. The Ability Aftermath may not be activated when a Pokémon with
Damp is within 10-meters of the Pokémon attempting to activate Aftermath."
Dancer,"Scene x2 - Free Action
A Pokemon or Trainer uses a Dance move.
The user copies the triggering Dance move immediately after the Pokemon or Trainer."
Danger Syrup,"Scene – Free Action
Effect: Connection - Sweet Scent. If the user is hit by a damaging attack, it may use Sweet Scent as a Free
Action, frequency allowing."
Dark Art,"Static
Effect: The user gains Last Chance with Dark."
Dark Aura,"Static
Effect: The user and all allies have the Damage Base of their damaging Dark Type Attacks increased by +1."
Dauntless Shield,"Static
Effect: The user’s default Defense Combat Stages are increased by +1."
Daybreak,"Burns the foe on contact. Also works on offense."
Daze,"Scene – Standard Action
Effect: Make an AC4 Status Attack against a target within 6 meters. If you hit, the target falls asleep."
Dazzling,"Scene x2 – Swift Action
Target: An Adjacent Foe
For the rest of the Scene, the target's Initiative is lowered by 10 and cannot use Priority Moves
Bonus: Interrupt Moves may not be declared in response to the user's actions."
Dead Power,"1.5x Attack boost. 20% chance to curse on contact moves."
Deadeye,"Static
Accuracy Increased by 2."
Deadly Poison,"Daily – Free Action
Trigger: The user Poisons a target
Effect: The target is Badly Poisoned instead."
Deadly Precision,"Super-effective moves never miss and ignore abilities."
Decoy,"Scene – Full Action
Effect: The user uses the Move “Follow Me” as if it was on their Move List, and their Evasion is raised by +2
until the end of their next turn."
Deep Cuts,"Slashing moves have a 50% chance to inflict bleeding."
Deep Freeze,"Boosts Water and Ice by 1.25x. Halves Fire damage taken."
Deep Sleep,"Static
When asleep, this Pokémon restores a Tick of Hit Points at the end of each turn. Defensive."
Defeatist,"Static
Effect: Whenever the user is brought below 50% of their max Hit Points, the user’s Attack and Special Attack
are lowered by 1 Combat Stage each, and the user’s Speed is increased by +2 Combat Stages. If the user is
healed above 50% max Hit Points, these changes are reverted."
Defiant,"Static
the user’s Attack is raised 2 Combat Stages."
Defy Death,"Daily – Swift Action
Effect: By activating this Ability, the user is instantly healed of up to 2 Injuries; these counts towards the total
number of Injuries that can be healed each day. Additionally, to die, the user must reach -250% Hit Points
instead of -200% Hit Points"
Delayed Reaction,"Scene – Free Action
Trigger: The user is hit by a direct damaging attack
Effect: Halve the damage taken by the user. At the end of the user’s next turn, the user loses Hit Points equal
to the other half of the damage. For example, if the user is hit for 11 damage and triggers this Ability, the user
would take 5 damage upon being hit and 6 damage at the end of its next turn. Defensive."
Delivery Bird,"Static
Effect: The user may hold two Held Items at once. Whenever an Ability or Move affects the user’s Held Items,
you may choose which one is affected."
Delta Stream,"Strong Winds until switched out. Weather-based moves not usable."
Demolitionist,"Readied Action + Ignores Protect + screens break on readied turn"
Denting Blows,"Hammer moves lower Defense."
Depravity,"Merciless + Overcharge."
Desert Cloak,"Protects its side from status and secondary effects in sand."
Desert Spirit,"Summons sand on entry. Ground moves hit airborne in sand."
Desert Weather,"Static
Effect: The user is immune to Sandstorm Damage, resists Fire-Type Moves in Sunny Weather, and regains
1/16th of its Max Hit Points at the end of each of its turns while in Rainy Weather.Defensive."
Desolate Land,"Intense Sun until switched out. Water-type moves are unusable."
Desolate Sun,"Desolate Land + Earth Eater."
Determination,"Ups Special Attack by 50% if suffering."
Devourer,"Strong Jaw + Primal Maw."
Diamond Defense,"Static
Effect: Connection - Stealth Rock. Stealth Rock’s Frequency is Scene x2, and the user’s Stealth Rocks can be
treated as dealing Rock-Type or Fairy-Type Damage, whichever is more effective.Defensive."
Dig Away,"Daily — Free Action
Connection - Dig. When hit by a Move, this Pokémon may activate this Feature to use Dig, frequency allowing,
as an interrupt to avoid the attack and shift underground immediately. This consumes a command as normal.
The terrain must allow for Dig to be used."
Dire Spore,"Static
Connection - Spore. Whenever the user hits a target with Spore, that target is also Poisoned."
Discipline,"Static
Rampage moves no longer makes user enraged and user can't get confused, intimidated, frighgtned or scared"
Disguise,"Scene - Free Action
The user is hit by a damaging attack.
The user takes no damage from the attack. This ability cannot be used again until healed at a Pokemon Center
or taking an hour to rest."
Dodge,"Daily — Free Action
trigger: The user is hit by a Damaging Move.
The triggering Move instead misses. Defensive."
Doom Blast,"Dark-type moves deal 1.35x damage but have 10% recoil."
Doombringer,"Uses Doom Desire on switch-in."
Download,"Scene — Swift Action
Trainer or Pokémon
effect: The target must reveal whether its Defense or Special Defense Stats are lower. If the Defense Stat is
lower, the user gains a +1 Attack CS. If the Special Defense Stat is lower, the user instead gains +1 Special
Attack CS. If both are tied, the user gains +1 CS to any Stat of their choice."
Draco Morale,"Uses Dragon Cheer on switch-in."
Draconic Aura (dragon aura),"Static
Effect: The user and all allies have the Damage Base of their damaging Dragon Type Attacks increased by +1."
Draconize,"Normal-type moves become Dragon and get a 1.1x boost."
Dragon's Maw,"Boosts the power of Dragon-type moves by 1.5x."
Dragon's Ritual,"Dealing a KO raises Attack and Speed by one stage."
Dragonfly,"Adds Dragon type to itself. Avoids Ground attacks."
Dragonslayer,"Static
Users STAB moves deals extra 10 damage to dragon type."
Dragon’s Maw,"Scene x2 – Free Action
Trigger: The user hits with a damaging Dragon-Type Move
Effect: One target hit by the attack becomes one stage more vulnerable to the attack (applied after all other
modifiers). Immune targets are treated as initially double-resistant for the purposes of this Ability, and may be
damaged normally."
Dream Catcher,"Scene x2 - Free Action
For each Sleeping pokemon on the field users does 5 more damages"
Dream Smoke,"Scene — Free Action
The user is hit by a Melee Attack'
The attacking foe falls Asleep."
Dream State,"Immune to critical hits. Takes 20% less damage from attacks."
Dream Whimsy,"Uses Yawn on switch-in."
Dreamcatcher,"Doubles move power if anyone on the field is asleep."
Dreamspinner,"Scene x3 — Swift Action'
effect: All Sleeping Foes within 3 meters lose a Tick of Hit Points, and the user gains a Tick of Temporary Hit
Points."
Drizzle,"Scene x3 — Swift Action
The Weather changes to be Rainy for 1 full round."
Drought,"Scene – Free Action
Effect: The Weather changes to be Sunny for 5 rounds."
Drown Out,"At-Will — Swift Action
target: An Adjacent Pokémon.
effect: The target reveals their Type, Ability, Nature, Level, and name of any Held Items they are currently
holding, if any."
