Attack Name,Type,Class,Frequency,Range,AC,DB,Effect,Versatile Effect,Attack Tier
Pollen Puff,Bug,Special,EOT,"6, 1 Target",4,8,"If Pollen Puff targets an Ally instead of dealing damage, they restore 2 Ticks of Hit Points or Temporary Hit Points.",--,Tier 2
Powder,Bug,Status,Scene x2,"6, Ranged Blast 3, Versatile",4,,"The Target gains a Flammable Coat. Whenever a Combatant with a Flammable Coat is hit with a 1 Target Ranged Damaging Attack, the Attacker may expend the Coat. Once expended, a Burst 2 explosion occurs originating from the Enemy with the Coat and all Combatants within this Range are also hit with the Triggering Attack. ","Same as the normal Effects, but the Range is changed to 3, 1 Target and the explosion is a Burst 1 instead.",Tier 2
Powder Storm,Bug,Special,Scene,"Close Blast 3, Full Action, Reckless",6,13,"After Damage Calculations, lower the Offensive Stat used for this Attack by -2 CS. Smite",--,Tier 3
Quiver Dance,Bug,Status,Scene x2,"Self, Versatile",,,"The user gains +2 CS in Special Attack, Special Defense and Speed.","Choose Special Attack, Special Defense or Speed to gain +1 CS in.",Tier 2
Rage Powder,Bug,Status,Scene x2,Burst 1 or Close Blast 2; Versatile,5,,"All Targets hit by Rage Powder become Provoked by the user until the end of their next Turn. On a roll of 15+, they also become Enraged. Friendly.","All Spaces in the Range of this Attack gain Powder Hazards until the end of the Round. Enemies that Trigger this Hazard become Provoked by their nearest Enemy Combatant that they can legally Target. 

Powder Hazard - Whenever an Enemy passes through or ends their turn on a Powder Hazard the Effect listed is applied. Users with the Breathless Capability ignore this Hazard.",Tier 2
Skitter Dance,Bug,Status,At-Will,"Self, Movement Action",,,The user’s next Melee Attack this Turn ignores Speed Evasion or they gain +1 Evasion.,--,Tier 1
Skitter Smack,Bug,Physical,EOT,"Melee, 1 Target",2,7,"The user may declare the usage of Skitter Smack at the start of their Turn. When Moving this turn, they do not provoke Attacks of Opportunity and do not trigger Reactions.",--,Tier 1
Silk Trap,Bug,Status,Scene,"4, 1 Target, Versatile",5,,"The Target becomes Slowed. While Slowed this way, their Melee Attacks are resisted an additional Damage step. If this Attack misses, they instead are Slowed without any additional effects. Spirit Surge",--,Tier 3
Silk Weave,Bug,Status,Scene x2,"4m, 1 Target or Self; Coat",,,The Target gains a Silk Coat. The Target may expend a Silk Coat to become cured of a Physical Affliction or to reset a Stat to its Default Value,--,Tier 2
Silver Cyclone,Bug,Special,Scene x2,"6, Ranged Blast 3, Full Action",5,11,"If the Weather is Windy, Silver Cyclone has the Friendly Keyword. Smite",--,Tier 3
Signal Beam,Bug,Special,EOT,"6, 1 Target",4,8,"On a roll of 18+ or if the Target is Dazed, they lose -2 CS in Special Attack or Special Defense. Smite",--,Tier 2
Silver Gale,Bug,Special,EOT,"8, 1 Target, Priority",3,7,"If Silver Gale is used with Priority, it may use the user's Speed Stat as an Offensive Stat instead of their Special Attack.",--,Tier 1
Silver Wind,Bug,Special,At-Will,"4, Ranged Blast 2",5,5,"If the Weather is Windy, this has the Sureshot Keyword.",--,Tier 1
Spider Fang,Bug,Physical,EOT,"Melee, 1 Target, Bite",3,8,"On a roll of 17+, roll a 1d3. The Target gains that Status Affliction. On a roll of 1, the Target is Paralyzed. On a 2, the Target is Poisoned. On a 3, the Target is Weakened until the end of the next Round.",--,Tier 2
Spider Web,Bug,Status,Scene x2,"3, 1 Target or Close Blast 2, Versatile",,,The Target becomes Slowed and is Trapped while Slowed and within 3m of the user. Sureshot.,"The Target becomes Slowed. When used this way, Spider Web has an AC of 6.",Tier 2
Steamroller,Bug,Physical,EOT,"Melee, Pass",5,7,"If the Target is smaller than the User, they cannot apply Physical Evasion or use Reactions against this Attack. ",--,Tier 1
Sticky Web,Bug,Status,EOT,"6, Hazard, Swift Action",,,"Choose 8 Spaces within the Range of this Attack to create Web Hazards in, such that all 8 Spaces are Adjacent to at least one other Web Hazard. Enemies that Trigger this Web Hazard become Slowed at the end of their Turn. 

Web Hazard - Spaces with Web Hazards are treated as Slow Terrain. Whenever an Enemy passes through or ends their turn on a Web Hazard, they have their Speed lowered by -3 CS. ",--,Tier 1
String Shot,Bug,Status,EOT,"Close Blast 2 or 6m, 1 Target; Versatile",6,,"All Targets become Slowed. While Slowed this way, they have a -3 Accuracy Penalty. *Grants Threaded","The Target loses -2 CS in Speed, or -1 CS if the Attack misses. Spirit Surge",Tier 1
Struggle Bug,Bug,Special,At-Will,Close Blast 2,5,4,"On a roll of 17+, the user gains +1 CS in Special Attack.",--,Tier 1
Swift Sting,Bug,Physical,At-Will,"Melee, 1 Target, Priority",2,4,--,--,Tier 1
Tail Glow,Bug,Status,Scene,"Self, Versatile",,,The user gains +3 CS in Special Attack. Attacks have a -3 Penalty to Accuracy when Targeting the user until the start of their next Turn.*Grants Glow,"The user gains +1 CS in Special Attack, then all Adjacent Enemies lose -2 to their next Accuracy Roll. ",Tier 3
Twineedle,Bug,Physical,At-Will,"Melee, 1 Target ",3,3,"On a roll of 16+, roll a d2. On a 1, they become Poisoned. On a 2, they become Wounded. Double Strike",--,Tier 1
U-Turn,Bug,Physical,At-Will,"Melee, 1 Target, Dash",2,7,"After Damage Calculations, the user may Disengage or perform a Full Switch as a Free Action.",--,Tier 1
Web Shot,Bug,Special,EOT,"6, Ranged Blast 2",5,6,"If this Attack misses all Targets, you may place Web Hazards in all spaces within the Range of this Attack. Enemies that Trigger this Web Hazard become Slowed at the end of their Turn. 

Web Hazard - Spaces with Web Hazards are treated as Slow Terrain. Whenever an Enemy passes through or ends their turn on a Web Hazard, they have their Speed lowered by -3 CS.",--,Tier 1
X-Scissor,Bug,Physical,EOT,"Melee, Pass ",6,8,"X-Scissor Inflicts Wounded on a roll of 18+. If this Attack is used without activating the Pass Keyword, this Effect Range automatically Triggers on a hit. Smite",--,Tier 2
Ambush,Dark,Physical,EOT,"Melee, 1 Target, Priority",3,8,"If the Target is Flanked, they're treated as Vulnerable against this Attack instead and cannot use Reactions against it. ",--,Tier 2
Assurance,Dark,Physical,EOT,"Melee, 1 Target",3,6,"This Attack's Damage Base is increased by +2 for each time the Target was targeted by an Attack this Round (Max 12). If the Target hit the user with an Attack this Round, this has the Sureshot Keyword.",--,Tier 2
Backlash,Dark,Special,EOT,"Melee, 1 Target",2,7,"When calculating Weakness and Resistance for Backlash, Fairy Typed Targets calculate damage as if Fairy was weak to Dark. If the Target of this Attack hit the user with an Attack this round, Backlash has the Sureshot Keyword.",--,Tier 1
Beat Up,Dark,Physical,Scene x2,"Melee, 1 Target",,,The user and an ally adjacent to the Target may each make a Basic Attack as a Free Action against the Target. These Basic Attacks hit for Dark Type Damage instead of their usual Type.,--,Tier 2
Bite,Dark,Physical,At-Will,"Melee, 1 Target, Bite",2,5,"On a roll of 16+, the Target becomes Wounded.",--,Tier 1
Blindside,Dark,Physical,EOT,"Melee, 1 Target",3,6,"Until the end of your Turn, if you use a Manipulate or Tactics Maneuver against the Target, it has the Sureshot Keyword and you have a Boon to any Opposed Checks. If the Target is Vulnerable or Flanked, they lose -2 CS to Defense or Special Defense.",--,Tier 1
Brutal Swing,Dark,Physical,EOT,Burst 1 ,5,7,"If a Target hit by this Attack Slides into a Space that is Adjacent to Blocking Terrain, they become Vulnerable against the next Attack that Targets them this Round. Slide 1 (Away).",--,Tier 1
Carrion Feast,Dark,Physical,Scene x2,"Melee, 1 Target, Trigger",4,9,"If an Adjacent Enemy is hit with an Attack, Carrion Feast can be used against that Enemy as a Standard Action + Reaction after the Attack's resolution. Excess HP from the Drain Keyword is converted into Temporary HP. Drain",--,Tier 2
Cackle,Dark,Status,Scene x2,"Burst 1, Sonic, Versatile",3,,"Choose a Stat on each Target to lower by -2 CS. If the chosen Stat had a positive CS Value or they're Provoked by the user, they lose -4 CS instead. Friendly.",Choose a Stat that has Positive Combat Stages on each Target if applicable. The chosen Stat is lowered by -2 CS. Friendly.,Tier 2
Chaos Strike,Dark,Special,Scene x2,"Melee, 1 Target, Recoil 1/3",3,12,"On a roll of 16+, the Target gains a Mental Affliction the user is affected by or becomes Suppressed if the user doesn't have any.",--,Tier 3
Crunch,Dark,Physical,EOT,"Melee, 1 Target, Bite",3,8,"On a roll of 17+, the Target either becomes Wounded or loses -2 CS in Defense",--,Tier 2
Dark Blade,Dark,Physical,Scene x2,"Melee, Pass",6,7,"Dark Blade is a Critical Hit on a roll of 17+. If this Attack misses all Targets, the user becomes Enraged and gains +1 CS in Attack. Spirit Surge",--,Tier 2
Dark Pulse,Dark,Special,EOT,"8, 1 Target, Aura",4,8,"On a roll of 18+, the Target becomes Suppressed. If the Weather is Foggy or the user has a Mental Affliction, this may be used as if its Range was Burst 1.",--,Tier 2
Dark Waves,Dark,Special,At-Will,"Burst 1 or 3, 2 Targets",5,4,--,--,Tier 1
Darkest Lariat,Dark,Physical,EOT,"Melee, 1 Target",3,8,"This Attack ignores the Target’s positive Defense CS, Damage Reduction, Blessings, Items, Physical Evasion and Abilities. Smite",--,Tier 2
Embargo,Dark,Status,EOT,"5, 1 Target, Swift Action",6,,"The Target becomes Marked with an Embargo Mark. While a Combatant is affected by an Embargo Mark, they cannot use or benefit from Equipment Items or Consumable Items and cannot be recalled. ",--,Tier 1
Fake Tears,Dark,Status,EOT,"Burst 1, Social, Versatile",4,,"For each Target, choose Attack or Special Attack. The chosen Stat is lowered by -3 CS. If a Target is Entranced, this cannot miss them. ",All Targets hit by this Attack cannot Target the user with their next Attack if there is another legal Target. ,Tier 1
False Surrender,Dark,Physical,EOT,"Melee, 1 Target",4,8,"If the user is Flanked, False Surrender has the Sureshot Keyword. If the user is Surrounded, False Surrender may be used as if its Range were Burst 1.",--,Tier 2
Feint Attack,Dark,Physical,EOT,"Melee, 1 Target ",,6,Sureshot.,--,Tier 1
Flatter,Dark,Status,EOT,"2, 1 Target, Social, Versatile",,,"The Targeted Enemy becomes Entranced. If this Targets an Ally that has hit an Attack this Round, the Ally gains +2 CS in a Stat of your choice. Sureshot",The Target becomes Entranced. This may only Target an Enemy that has hit an Attack this Round. Sureshot,Tier 1
Fling,Dark,Physical,Scene x2,"8, 1 Target ",4,8,"The user may use the environment or expend an Item in their Inventory to change the Type of Fling, within the GMs Discretion. If an Item is expended, Fling's Effect becomes the Item's Effect as if they used the Throw Maneuver. ",--,Tier 2
Foul Play,Dark,Physical,Scene x2,"Melee, 1 Target",3,10,"The Target reveals its Attack stat. When calculating damage, your Offensive Stat is treated as the Target's Attack value.",--,Tier 3
Gash,Dark,Status,Scene x2,"Melee, Pass, Versatile",5,,"Any Coats of the user’s choice currently affecting the Target are removed. When this Attack hits, the Target becomes Wounded. Spirit Surge","The Target becomes Wounded. When used this way, Gash loses the Pass Keyword and its AC becomes 3. ",Tier 2
Hone Claws,Dark,Status,EOT,"Self, Versatile",,,"Choose one of the following to gain a +2 to. Attack CS, Accuracy, Critical Hit Range.",Same as the normal Effect but gain +1 instead. ,Tier 1
Jaw Lock,Dark,Physical,Scene x2,"Melee, 1 Target, Bite",4,8,"On a 15+, the Target cannot use a Movement Action during their next Turn. This Turn, you may perform a Grapple Maneuver against the Target as a Swift Action if desired.",--,Tier 2
Knock Off,Dark,Physical,Scene x2,"Melee, 1 Target",3,7,"When this Attack hits, you may use a Disarm Maneuver as a Free Action against the Target. Perform the Opposed Check with a Boon.",--,Tier 2
Kowtow Cleave,Dark,Physical,Scene x2,Close Blast 2 ,,8,"On a roll of 17+, all Targets become Wounded. Sureshot",--,Tier 2
Lash Out,Dark,Physical,EOT,"Melee, 1 Target",4,8,"If the user is Enraged or has an Affliction, Lash Out is instead DB 12",--,Tier 2
Lunar Beam,Dark,Special,Scene,"Line X, Set-Up",4,8,"Charge Effect: If the Weather is Sunny, you cannot use this Charge Effect. If the Weather is Foggy, you instead gain 2 Charge Tokens. 
Resolution Effect: X is equal to 4 plus the number of Charge Tokens you expend. This Attack’s Damage Base is increased by +2 for each Charge Token you expend. Smite",--,Tier 2
Marked Prey,Dark,Status,Scene x2,"Melee, 1 Target, Swift Action",3,,"The Target becomes Marked with a Scent Mark. The user gains +2 Accuracy and Effect Range against Combatants with a Scent Mark.
*Grants Tracker",--,Tier 2
Memento,Dark,Status,Scene,"8, 1 Target, Trigger, Free Action",,,"Memento may be used as a Free Action when the user becomes Fainted, targeting the Combatant who caused it to Faint. Lower each of the Target's stats by -2 CS. Sureshot",--,Tier 3
Nasty Plot,Dark,Status,EOT,"Self, Versatile",,,The user gains +2 CS in Special Attack. Their next Special Attack gains the Smite Keyword.,The user gains +1 CS in Special Attack. ,Tier 1
New Moon,Dark,Status,Scene x2,"Blessing, Versatile, Weather",,,"Blessing - Any user affected by New Moon may activate it as a Free Action when using a Dark Type Damaging Attack to grant it the Smite Keyword. If the Attack hits, it hits, it is also increased by one damage step. (Max 1.5x Effectiveness). New Moon may be Activated 3 times and then disappears. While this Blessing persists, the Weather becomes Foggy.","Same as the normal Effect, but it only has 1 Activation.",Tier 2
Night Daze,Dark,Special,EOT,Burst 1,6,9,"Targets become Dazed on a 16+. If the Weather is Foggy, Night Daze has the Friendly Keyword. ",--,Tier 2
Night Slash,Dark,Physical,EOT,"Melee, Pass",5,7,Night Slash is a Critical Hit on a roll of 18+.,--,Tier 1
Obstruct,Dark,Status,Scene,"Self, Coat",,,"The user gains an Obstructed Coat until the start of their next Turn. While they have this Coat, Adjacent Allies cannot be Targeted by 1-Target Attacks, Adjacent Allies resist damage by an additional step and the Enemies cannot move through the space the user occupies. ",--,Tier 3
Parting Shot,Dark,Status,EOT,"6, 1 Target, Social, Movement Action",,,"The user may perform a Provoke Maneuver against the Target as a Free Action as if it had the Sureshot Keyword. The user then either Disengages or performs a Full Switch, both as a Free Action. If they were Switched out and the Maneuver was successful, they are Provoked by the replacing Pokemon until the end of their next Turn. Sureshot",--,Tier 1
Payback,Dark,Physical,EOT,"Melee, 1 Target",4,6,"If the Target hit the user with an Attack since the user's last turn, Payback instead has a Damage Base of 12.",--,Tier 2
Power Trip,Dark,Physical,Scene x2,"Melee, 1 Target",4,2,"This Attack gains +2 to its Damage Base for every positive CS held by the user, to a maximum of DB 20. Smite",--,Tier 2
Punishment,Dark,Physical,EOT,"Melee, 1 Target",4,2,"This Attack gains +2 to its Damage Base for every positive CS held by the Target, to a maximum of DB 20. Smite",--,Tier 2
Pursuit,Dark,Physical,At-Will,"Melee, 1 Target ",2,5,"The Target becomes Marked with a Pursuit Mark. Whenever an Enemy with a Pursuit Mark moves, you may Slide into an Adjacent Space as a Reaction. If they would exceed a number of spaces more than your Movement Value, you cannot use this Effect. ",--,Tier 1
Quash,Dark,Status,At-Will,"10, 1 Target, Social, Versatile",5,,"If the user has witnessed the Target use an Attack or Ability this Scene, you may choose one of them to become Disabled. When this Attack hits, the Target becomes Suppressed. Spirit Surge.",Choose an Attack or Ability that the user has witnessed the Target use to become Disabled.,Tier 1
Ripping Abyss,Dark,Status,Scene x2,"Field, Versatile, Weather",,,"The Field becomes Abyssal for the next 5 Rounds. While the Field is Abyssal, non Dark Type Enemies lose a Tick of Hit Points at the start of their Turn and Dark Type Pokemon gain a Tick of Temporary Hit Points at the start of their Turn. While the Field is Abyssal, the Weather becomes Foggy.","Same as the normal Effect, but at the end of the Round, roll a Luck Check and on a 10 or less, the Field is no longer affected by this Attack.",Tier 2
Sabotage,Dark,Special,At-Will,"Melee, 1 Target",3,4,"When this Attack hits, choose a Stat the Target has Positive CS in. They lose -1 CS in that Stat.",--,Tier 1
Savage Roar,Dark,Status,Scene x2,"Burst 2, Sonic, Social, Versatile",,,"Perform a Command or Intimidate Check. If you get at least 3 Successes, all Targets become Suppressed. Additionally they suffer a penalty to their next Accuracy or Save Check (of your choice) equal to half the number of Successes (Rounded Up). Friendly, Sureshot.","Same as the Normal Effects, but the Range is changed to Melee, 1 Target, Sonic. Sureshot.",Tier 2
Scornful Vortex,Dark,Physical,Scene,"Burst 2, Full Action, Reckless",6,13,The user loses a Tick of Hit Points for each combatant that takes damage from this Attack. Smite,--,Tier 3
Shadow Bolt,Dark,Special,Scene,"10, 1 Target ",5,10,"On a roll of 18+ or if Shadow Bolt misses, roll a 1d3. On a roll of 1, the Target becomes Suppressed. On a 2, the Target becomes Dazed. On a 3, the Target becomes Enraged. If the Weather is Foggy, you may choose instead of rolling a 1d3. Spirit Surge.",--,Tier 3
Shadow Snare,Dark,Special,EOT,"3, 1 Target",5,8,"The Target becomes Trapped. If the Weather is Foggy, Shadow Snare has the Sureshot Keyword.",--,Tier 2
Shadow Strike,Dark,Special,EOT,"Melee, 1 Target",3,6,"If the Weather is Foggy, Shadow Strike has a damage base of 10 and the Target cannot apply Speed Evasion against this Attack.",--,Tier 1
Shadow Veil,Dark,Status,Scene x2,"Blessing, Versatile",,,"Blessing – Any user affected by Shadow Veil may activate it as a Free Action when they’re Targeted by an Attack. The Attacker suffers a -3 Penalty to its Accuracy Roll. If the Weather is Foggy, this instead becomes a -6 Penalty. Shadow Veil may be Activated 2 times, and then disappears.","Same as the normal Effect, but it requires a Reaction to activate the Blessing instead of a Free Action.",Tier 2
Siphon Life,Dark,Special,Scene x2,"4, 1 Target ",5,8,Drain. ,--,Tier 2
Snarl,Dark,Special,At-Will,"Close Blast 2, Sonic",5,5,"This Attack may also be used as a Full Action to perform a Command or Intimidate Check. For each success, Targets apply -1 less Evasion against this Attack. ",--,Tier 1
Snatch,Dark,Status,Scene x2,"Self, Trigger",,,"Snatch can only be used as a Reaction whenever an Enemy within 2m uses an Attack with the Self Range. You also gain the benefits of the Triggering Attack. If used as a Standard Action + Reaction, the Enemy does not gain the benefits of the Triggering Attack as well.",--,Tier 2
Sucker Punch,Dark,Physical,At-Will,"Melee, 1 Target, Priority, Trigger, Punch",3,7,"Whenever you’re targeted with an Attack by an Adjacent Enemy, you may use a Standard Action + Reaction to use this Attack. This Attack resolves before the Triggering Attack. If the Triggering Enemy were to faint, their Attack does not resolve. ",--,Tier 1
Switcheroo,Dark,Status,EOT,"Melee, 1 Target, Versatile",2,,"You and the Target are cured of all Status Affliction. Then, the Target is inflicted with all Status Afflictions you were cured of. You are then inflicted with all Status Afflictions that the Target was cured of, if any.",Choose one Status Affliction that you and the Target are affected by and swap them.,Tier 1
Taunt,Dark,Status,EOT,"4, 1 Target, Social, Versatile",,,"The Target becomes Provoked by you until the end of their next Turn. If they’re already Provoked by you or have been in this Scene, you may instead cause them to become Enraged. Sureshot.","Same as the normal effects, but if the Target passes a Tough CR (3) Focus Check, the Attack does nothing. Sureshot",Tier 1
Thief,Dark,Physical,At-Will,"Melee, 1 Target",3,6,"You may perform a Disarm Maneuver against the Target as a Free Action. If an Item is disarmed and the user has an empty Inventory Slot, they may add it to their Inventory after Damage Calculations.",--,Tier 1
Throat Chop,Dark,Physical,EOT,"Melee, 1 Target",3,8,The Target cannot use Attacks with the Sonic keyword until the end of their next Turn.,--,Tier 2
Topsy-Turvy,Dark,Status,Scene x2,Burst 2,6,,The user and all Combatants hit by this Attack lose -4 CS in Stats that they have Positive CS in and gain +4 CS in Stats that they have Negative CS in. Any Combatants that this Attack misses instead lose -2 CS in Stats they have Positive CS in. Spirit Surge.,--,Tier 2
Torment,Dark,Status,Scene x2,"8, 1 Target, Social, Versatile",5,,"The Target becomes Suppressed. If this Attack hits, while Suppressed this way, the user cannot cure Mental Afflictions while they're within 3m of the user. Spirit Surge.",The Target becomes Suppressed.,Tier 2
Umbral Assault,Dark,Special,At-Will,"Melee, 1 Target",3,4,Double Strike.,--,Tier 1
Ancestral Fury,Dragon,Physical,EOT,Close Blast 2 ,6,8,Ancestral Fury is a Critical Hit on a roll of 18+. This Crit Range is increased by +2 if the user is Enraged or Provoked. After Damage Calculations the user may become Enraged. Spirit Surge.,--,Tier 2
Breaking Swipe,Dragon,Physical,EOT,Close Blast 2,5,6,"On a roll of 18+, all Targets become Wounded. Smite",--,Tier 1
Breath Blast,Dragon,Special,EOT,"6, Ranged Blast 2",5,6,"On a roll of 18+, all Targets become Paralyzed. Smite",--,Tier 1
Clanging Scales,Dragon,Special,Scene x2,"6, 1 Target or Burst 1, Sonic",6,11,"The user may add half their Defense Stat to Clanging Scale's Damage Roll. After Damage Calculations, if they do, the user loses -2 CS in Defense.",--,Tier 3
Clangorous Soul,Dragon,Status,Scene,"Burst 3, Full Action; or Burst 3",,,"The user gains +2 CS in each Stat and all Allies within the range of this Attack gain +1 CS to a Stat of their Choice. This Attack can only be used as a Full Action or as a Standard Action + Reaction upon falling below 50% of their Max Hit Points. If used as a Reaction, the user also gains 2 Ticks of Temporary Hit Points. ",--,Tier 3
Draco Meteor,Dragon,Special,Scene,"10, Ranged Bast 2, Set-Up",6,10,"Charge Effect: No Effect 
Resolution Effect: You may select a Range for this Attack a number of times equal to the expended Charge Tokens and it Targets all Combatants in these Ranges. These Ranges cannot overlap and an Enemy cannot be Targeted more than once this way. Smite",--,Tier 3
Draconic Aura,Dragon,Status,Scene x2,"Blessing, Versatile",,,"Blessing - Any user affected by Draconic Aura may activate it as a Free Action when using a Dragon Type Damaging Attack to grant it the Smite Keyword. If the Attack hits, it hits, it is also increased by one damage step. (Max 1.5x Effectiveness). Draconic Aura may be Activated 3 times and then disappears. ","Same as the normal Effect, but it only has 1 Activation.",Tier 2
Draconic Roar,Dragon,Status,EOT,"Burst 2, Sonic, Versatile",6,,"Choose a Stat the Target has Positive CS in. They lose -3 CS in that Stat. On a 15+, all you may choose any number of Targets hit to become Provoked by you until the end of their next Turn. Friendly",Choose any number of Targets hit by this Attack to become Provoked until the end of their next Turn. Friendly,Tier 1
Dragon Axe,Dragon,Physical,Scene x2,"Melee, 1 Target",4,10,"On Even rolls, the Target becomes Wounded. On Odd rolls, the Target becomes Vulnerable until the end of the Round. Spirit Surge.",--,Tier 3
Dragon Breath,Dragon,Special,At-Will,"6, 1 Target or Line 3",3,4,"On a roll of 18+, the Target becomes Paralyzed. If this is used as a Line 3 Range, the AC becomes 5.",--,Tier 1
Dragon Claw,Dragon,Physical,At-Will,"Melee, 1 Target",3,8,"If the Target is suffering from a Physical Affliction or has negative Defense Combat Stages, this Attack is treated as one step more Effective but cannot surpass 1.5x Effectiveness. Its Damage Effectiveness can only be increased this way once per Scene per Target.",--,Tier 2
Dragon Dance,Dragon,Status,At-Will,"Self, Versatile",,,The user gains +2 CS in Attack. The user is cured of one Physical Affliction.,"If the user is affected by a Physical Affliction, they pass their next Save Check, regardless of the result.",Tier 1
Dragon Darts,Dragon,Physical,EOT,"6, 1 Target; or 6, 2 Targets",6,5,"If this Attack is used as a 1 Target, it has the Double Strike Keyword and has an AC of 4.",--,Tier 1
Dragon Dash,Dragon,Physical,At-Will,"Melee, 1 Target, Dash",2,4,"If the Dash Keyword is Activated, increase the Slide by +2. Slide 2 (Away)",--,Tier 1
Dragon Force,Dragon,Status,Scene x2,"Melee, 1 Target, Versatile",5,,"The Target loses -3 CS in Defense and Special Defense and you may remove any Coats applied to them. If this Attack hits, they also become Weakened until the end of their next Turn. Spirit Surge.",The Target loses -2 CS in Defense and Special Defense and becomes Vulnerable against the next Attack to target them.,Tier 2
Dragon Hammer,Dragon,Physical,EOT,"Melee, 1 Target; or Line 3",6,9,"If the Target's size is Small, this Attack is treated as one step more Effective but cannot surpass 1.5x Effectiveness. Its Damage Effectiveness can only be increased this way once per Scene per Target. If this is used as a Melee Attack it has the Smite Keyword.",--,Tier 2
