Name,Frequency,Base Effect,Trigger,Target,Keywords,Effect
Berserk,Scene - Swift Action,"Effect: The user becomes Enraged for the remainder of the Scene and it cannot be cured by any other means (Other than Fainting). 
Bonus: While Enraged, if the user hits a Damaging Attack, they gain +1 CS in Attack or Special Attack after Damage Calculations. While Enraged, the user’s Melee, 1 Target Attacks may be used as if they were “All Adjacent Enemies” instead. While Enraged, the user has a -3 Penalty to Save Checks.",,,,"Scene - Swift Action
Effect: The user becomes Enraged for the remainder of the Scene and it cannot be cured by any other means (Other than Fainting). 
Bonus: While Enraged, if the user hits a Damaging Attack, they gain +1 CS in Attack or Special Attack after Damage Calculations. While Enraged, the user’s Melee, 1 Target Attacks may be used as if they were “All Adjacent Enemies” instead. While Enraged, the user has a -3 Penalty to Save Checks."
Big Swallow,Static,"Effect: The user may perform the Grapple Maneuver as a Swift Action. Whenever you are engaged in a Grapple with Creatures that are smaller than you, you are not Vulnerable nor Provoked by the Grappled Combatant. Whenever a Grappled Enemy you have Dominance with performs a Grapple Check, they lose a Tick of Hit Points and you restore a Tick of Hit Points.",,,,"Static
Effect: The user may perform the Grapple Maneuver as a Swift Action. Whenever you are engaged in a Grapple with Creatures that are smaller than you, you are not Vulnerable nor Provoked by the Grappled Combatant. Whenever a Grappled Enemy you have Dominance with performs a Grapple Check, they lose a Tick of Hit Points and you restore a Tick of Hit Points."
Blade Of Resentment,Static,"Connection - Bitter Blade. 
Effect: The user’s Melee Attacks have a 16+ Effect Range to cause Targets to become Suppressed. Whenever the user hits a Drain Attack against a Suppressed Target, they heal for the full Damage the Target takes instead of half.  ",,,,"Static
Connection - Bitter Blade. 
Effect: The user’s Melee Attacks have a 16+ Effect Range to cause Targets to become Suppressed. Whenever the user hits a Drain Attack against a Suppressed Target, they heal for the full Damage the Target takes instead of half.  "
Blessed Touch,At-Will  - Standard Action,"Effect: The Target is cured of all Physical Afflictions, restores 3 Ticks of Hit Points or gains 2 Ticks of Temporary Hit Points. An Ally can only be affected by each of these Effects once per Scene. 
Bonus: The user gains a Modifier to Save Checks equal to their Tier Level.",,An Adjacent Ally,,"At-Will  - Standard Action
Target - An Adjacent Ally
Effect: The Target is cured of all Physical Afflictions, restores 3 Ticks of Hit Points or gains 2 Ticks of Temporary Hit Points. An Ally can only be affected by each of these Effects once per Scene. 
Bonus: The user gains a Modifier to Save Checks equal to their Tier Level."
Blow Away,At-Will - Free Action,"Effect: The Target is slid up to Xm in any direction. X is equal to 6 minus their Weight Class.
Bonus: The user may perform Trip Maneuvers as if their Range was 6, 1 Target or Line 3. ",The user hits an Enemy with a Flying Type Attack or a Trip Maneuver,,,"At-Will - Free Action
Trigger - The user hits an Enemy with a Flying Type Attack or a Trip Maneuver
Effect: The Target is slid up to Xm in any direction. X is equal to 6 minus their Weight Class.
Bonus: The user may perform Trip Maneuvers as if their Range was 6, 1 Target or Line 3. "
Bodyguard,Scene - Reaction,"Effect: The Triggering Ally Slides 1m in any direction, then the user slides into their original space. The user is hit by the Triggering Attack instead, taking damage from the Attack as if they resisted it one step further. If the Ally still remains within the Area of Effect of the Triggering Attack, they are still hit by the Attack.  
Bonus: Whenever the user Intercepts, the Triggering Attack isn't increased by a Damage Step.",An Adjacent Ally is hit by an Attack,,Defensive,"Scene - Reaction
Keywords - Defensive
Trigger - An Adjacent Ally is hit by an Attack
Effect: The Triggering Ally Slides 1m in any direction, then the user slides into their original space. The user is hit by the Triggering Attack instead, taking damage from the Attack as if they resisted it one step further. If the Ally still remains within the Area of Effect of the Triggering Attack, they are still hit by the Attack.  
Bonus: Whenever the user Intercepts, the Triggering Attack isn't increased by a Damage Step."
Bone Lord,Static,"Connection - Bone Club. 
Effect: Whenever you use the Bone Club Attack, you may alter how it’s used in any of the following ways. You can only choose one at a time. You may change its range to “All Adjacent Enemies”. You may change its range to “6, 1 Target, Smite”. You may have it ignore Immunity to Ground Type Attacks. You may extend its Critical Hit Range by your Tier Level. You may use it as an Interrupt, Standard Action when hit by an Adjacent Enemy. ",,,,"Static
Connection - Bone Club. 
Effect: Whenever you use the Bone Club Attack, you may alter how it’s used in any of the following ways. You can only choose one at a time. You may change its range to “All Adjacent Enemies”. You may change its range to “6, 1 Target, Smite”. You may have it ignore Immunity to Ground Type Attacks. You may extend its Critical Hit Range by your Tier Level. You may use it as an Interrupt, Standard Action when hit by an Adjacent Enemy. "
Bountiful Harvest,Static,Effect: The user starts the Scene with 3 Fruit Counters. The user or Adjacent Allies may use a Swift Action to expend one Fruit Counter to restores two Ticks of Hit Points or cure themselves of a Physical Status Affliction. ,,,,"Static
Effect: The user starts the Scene with 3 Fruit Counters. The user or Adjacent Allies may use a Swift Action to expend one Fruit Counter to restores two Ticks of Hit Points or cure themselves of a Physical Status Affliction. "
Brimstone,Scene - Swift Action,"Effect: They instead are both Burned and Poisoned.
Bonus: The user gains a bonus to Effect Ranges equal to their Tier Level if the Effect would cause a Target to become Burned or Poisoned.",The user would Burn or Poison an Enemy,,,"Scene - Swift Action
Trigger - The user would Burn or Poison an Enemy
Effect: They instead are both Burned and Poisoned.
Bonus: The user gains a bonus to Effect Ranges equal to their Tier Level if the Effect would cause a Target to become Burned or Poisoned."
Bulletproof,Scene - Reaction,"Effect: The user takes Damage as if the Triggering Attack was one step less effective. If the user is Tier 3, the Frequency of this Ability becomes Scene x2 instead.",The user is hit by a Physical Attack or 1-Target Ranged Attack,,Defensive,"Scene - Reaction
Keywords - Defensive
Trigger - The user is hit by a Physical Attack or 1-Target Ranged Attack
Effect: The user takes Damage as if the Triggering Attack was one step less effective. If the user is Tier 3, the Frequency of this Ability becomes Scene x2 instead."
Cave Dweller ,Static,"Effect: The user resists Ground and Rock Type Attacks by an additional Damage step. The user gains the Darkvision Capability. While the user is in Cave Terrain, once per Round they may perform any Combat Maneuver without a Trigger as if it were a Free Action. ",,,Defensive,"Static
Keywords - Defensive
Effect: The user resists Ground and Rock Type Attacks by an additional Damage step. The user gains the Darkvision Capability. While the user is in Cave Terrain, once per Round they may perform any Combat Maneuver without a Trigger as if it were a Free Action. "
Chaotic,Scene x2 - Free Action,"Connection - Metronome. 
Effect: The GM rolls for Metronome three times and you may choose which Attack to use. 
Bonus: When you use the Metronome Attack, Damaging Attacks that are rolled may have their Category changed to either Physical or Special, of your choice.",You use Metronome as a Standard Action,,,"Scene x2 - Free Action
Trigger - You use Metronome as a Standard Action
Connection - Metronome. 
Effect: The GM rolls for Metronome three times and you may choose which Attack to use. 
Bonus: When you use the Metronome Attack, Damaging Attacks that are rolled may have their Category changed to either Physical or Special, of your choice."
Chemical Romance,At-Will - Swift Action,"Effect: The Poisoned Enemy also becomes Entranced. They cannot cure the Entranced Affliction while they’re Poisoned this way.
Bonus: Entranced Enemies within 3m of you suffer a penalty to Save Checks equal to your Tier Level.",The user would Poison an Enemy,,,"At-Will - Swift Action
Trigger - The user would Poison an Enemy
Effect: The Poisoned Enemy also becomes Entranced. They cannot cure the Entranced Affliction while they’re Poisoned this way.
Bonus: Entranced Enemies within 3m of you suffer a penalty to Save Checks equal to your Tier Level."
Chlorophyll,Scene - Swift Action ,"Effect: The user restores two Ticks of Hit Points or gains 2 Ticks of Temporary Hit Points or is cured of a Physical Status Affliction. If the user is in Sunny Weather, the Frequency of Chlorophyll isn’t expended. This Ability can only ignore its Frequency twice in a Scene.",,,,"Scene - Swift Action 
Effect: The user restores two Ticks of Hit Points or gains 2 Ticks of Temporary Hit Points or is cured of a Physical Status Affliction. If the user is in Sunny Weather, the Frequency of Chlorophyll isn’t expended. This Ability can only ignore its Frequency twice in a Scene."
Clay Cannons,Static,"Effect: The user gains two Cannon Tokens that must stay within 2m of the user at all times. The user may move them anywhere within this range Limit as a Free Action on their Turn. Each Token has 1 HP and if they Faint, can be revived as a Swift Action. The user may originate any Attack or Maneuver from a Cannon Token. When originating an Attack from a Cannon Token, all Blast Ranges are increased by +1 and Line Ranges are increased by +2. These Attacks also gain +3d8 to their Damage Rolls. ",,,,"Static
Effect: The user gains two Cannon Tokens that must stay within 2m of the user at all times. The user may move them anywhere within this range Limit as a Free Action on their Turn. Each Token has 1 HP and if they Faint, can be revived as a Swift Action. The user may originate any Attack or Maneuver from a Cannon Token. When originating an Attack from a Cannon Token, all Blast Ranges are increased by +1 and Line Ranges are increased by +2. These Attacks also gain +3d8 to their Damage Rolls. "
Clear Body,Static,"Effect: The user cannot have Combat Stages lowered by the result of an Enemy’s Feature, Ability, Attack, etc. Indirect methods such as Status Afflictions still affect them. The user is Immune to negative modifiers as a result of an Enemy’s Feature, Ability, Attack, etc. This includes modifiers to Accuracy, Save Checks, Evasion, etc. ",,,Defensive,"Static
Keywords - Defensive
Effect: The user cannot have Combat Stages lowered by the result of an Enemy’s Feature, Ability, Attack, etc. Indirect methods such as Status Afflictions still affect them. The user is Immune to negative modifiers as a result of an Enemy’s Feature, Ability, Attack, etc. This includes modifiers to Accuracy, Save Checks, Evasion, etc. "
Cloud Nine,Scene - Swift Action,"Effect: All Weather on the Field is removed. The same Weather cannot be added to the Field until end of the next Round.
Bonus: While there is no Weather on the Field, the user has a bonus to Save Checks equal to their Tier Level and has a Boon to all Skill Checks while in Combat. ",,,,"Scene - Swift Action
Effect: All Weather on the Field is removed. The same Weather cannot be added to the Field until end of the next Round.
Bonus: While there is no Weather on the Field, the user has a bonus to Save Checks equal to their Tier Level and has a Boon to all Skill Checks while in Combat. "
Cluster Mind,"Scene - Swift Action
","Effect: The user may switch an Attack between their Known Attack List and their Attack List until the end of the Scene.
Bonus: The user gains bonus Attack Slots equal to their Tier Level. Attacks that occupy these Slots must be Status Category.",,,,"Scene - Swift Action

Effect: The user may switch an Attack between their Known Attack List and their Attack List until the end of the Scene.
Bonus: The user gains bonus Attack Slots equal to their Tier Level. Attacks that occupy these Slots must be Status Category."
Color Change,At-Will - Free Action,"Effect: Choose any Type. The user’s Type changes to match the chosen Type until the end of the Scene. 
Bonus: The user resists Attacks of its current Type by an additional Damage Step. ",,,,"At-Will - Free Action
Effect: Choose any Type. The user’s Type changes to match the chosen Type until the end of the Scene. 
Bonus: The user resists Attacks of its current Type by an additional Damage Step. "
Color Theory,At-Will - Free Action  ,"Effect: The user may instead deal Damage as if its Type was one of the Types associated with their Color. 
Bonus: When the user is born, choose a Color for their Tail. Each color has an associated set of Types and Stat. The user gains +5 Stat Points in the associated Stat that go in the Extra Column. Red - (Attack | Fire, Fairy, Psychic), Orange - (Defense | Normal, Fighting, Dragon) Yellow - (Special Attack | Electric, Rock, Steel) Green - (Special Defense | Bug, Grass Ground) Blue - (Speed | Flying, Ice, Water) Violet - (Hit Points | Dark, Ghost, Poison) ",The user hits a Damaging Attack,,,"At-Will - Free Action  
Trigger - The user hits a Damaging Attack
Effect: The user may instead deal Damage as if its Type was one of the Types associated with their Color. 
Bonus: When the user is born, choose a Color for their Tail. Each color has an associated set of Types and Stat. The user gains +5 Stat Points in the associated Stat that go in the Extra Column. Red - (Attack | Fire, Fairy, Psychic), Orange - (Defense | Normal, Fighting, Dragon) Yellow - (Special Attack | Electric, Rock, Steel) Green - (Special Defense | Bug, Grass Ground) Blue - (Speed | Flying, Ice, Water) Violet - (Hit Points | Dark, Ghost, Poison) "
Comatose,At-Will - Movement Action,"Effect: The user regains a Tick of Hit Points.
Bonus: The user is Immune to the Drowsy Affliction.",,,,"At-Will - Movement Action
Effect: The user regains a Tick of Hit Points.
Bonus: The user is Immune to the Drowsy Affliction."
Combo Striker,At-Will - Free Action,"Effect: After the Triggering Attack Resolves, the user may use a Basic Attack against the same Target. ","The user rolls a Natural 5, 10, 15 or 20 on an Accuracy Roll for a Melee Damaging Attack",,,"At-Will - Free Action
Trigger - The user rolls a Natural 5, 10, 15 or 20 on an Accuracy Roll for a Melee Damaging Attack
Effect: After the Triggering Attack Resolves, the user may use a Basic Attack against the same Target. "
Commander,At-Will - Swift Action,"Connection - Helping Hand.
Effect: The Target gains a bonus to Accuracy and Save Checks equal to your Tier Level until the end of their next Turn. 
Bonus: The user treats all Allies as if they were Cover Terrain when Attacks would Target the user.",,An Adjacent Ally,,"At-Will - Swift Action
Target - An Adjacent Ally
Connection - Helping Hand.
Effect: The Target gains a bonus to Accuracy and Save Checks equal to your Tier Level until the end of their next Turn. 
Bonus: The user treats all Allies as if they were Cover Terrain when Attacks would Target the user."
Complex Neurolink,Static,Effect: The user is immune to Mental Afflictions caused by Enemies. ,,,Defensive,"Static
Keywords - Defensive
Effect: The user is immune to Mental Afflictions caused by Enemies. "
Compound Eyes,Scene x2 - Swift Action,"Effect: The Triggering Attack gains the Unstoppable Keyword.
Bonus: The user gains a bonus to Accuracy and Evasion equal to their Tier Level.",The user uses an attack ,,,"Scene x2 - Swift Action
Trigger - The user uses an attack 
Effect: The Triggering Attack gains the Unstoppable Keyword.
Bonus: The user gains a bonus to Accuracy and Evasion equal to their Tier Level."
Conqueror,At-Will - Free Action,"Effect: The user gains +1 CS in Attack, Special Attack or Speed
Bonus: Whenever the user would lose CS in a Stat they have Positive CS in, the amount lost is reduced by 1. ",An Enemy the user has Damaged this Scene Faints or the user resolves an Attack that resulted in a Critical Hit,,,"At-Will - Free Action
Trigger - An Enemy the user has Damaged this Scene Faints or the user resolves an Attack that resulted in a Critical Hit
Effect: The user gains +1 CS in Attack, Special Attack or Speed
Bonus: Whenever the user would lose CS in a Stat they have Positive CS in, the amount lost is reduced by 1. "
Contrary,Static,"Effect: Whenever the user would lose Combat Stages, they instead gain the same amount. If they gain CS, they instead lose the same amount. If the user would gain a temporary positive Modifier to a Combat Value, it instead becomes a Penalty of the same Value. If the user would gain a temporary penalty to a Combat Value, it instead becomes a positive Modifier for the same Value for the same duration. (Ex: Accuracy or Evasion)",,,,"Static
Effect: Whenever the user would lose Combat Stages, they instead gain the same amount. If they gain CS, they instead lose the same amount. If the user would gain a temporary positive Modifier to a Combat Value, it instead becomes a Penalty of the same Value. If the user would gain a temporary penalty to a Combat Value, it instead becomes a positive Modifier for the same Value for the same duration. (Ex: Accuracy or Evasion)"
Copy Master,At-Will - Reaction,"Connection - Copycat. 
Effect: Add the Triggering Attack to your Attack List until the end of your next Turn. 
Bonus: Whenever you use Copycat, the Attack is added to your Attack List for the rest of the Scene. Whenever you use an Attack that has been added to your Attack List this Scene, it may be treated as either Physical or Special of your choice. Attacks gained through this Ability are added to your bonus Attack Slots.",Another Combatant uses an Attack,,,"At-Will - Reaction
Trigger - Another Combatant uses an Attack
Connection - Copycat. 
Effect: Add the Triggering Attack to your Attack List until the end of your next Turn. 
Bonus: Whenever you use Copycat, the Attack is added to your Attack List for the rest of the Scene. Whenever you use an Attack that has been added to your Attack List this Scene, it may be treated as either Physical or Special of your choice. Attacks gained through this Ability are added to your bonus Attack Slots."
Corrosion,Static,"Effect: The user’s Poison Type Attacks deal Damage to Rock and Steel Type Pokemon as if it was Super Effective instead of Immune. The user may inflict the Poison Affliction on Steel Type Pokemon as if they were not Immune to the Affliction. When the user inflicts Poison, they may lower their Defense instead of Special Defense if desired.",,,,"Static
Effect: The user’s Poison Type Attacks deal Damage to Rock and Steel Type Pokemon as if it was Super Effective instead of Immune. The user may inflict the Poison Affliction on Steel Type Pokemon as if they were not Immune to the Affliction. When the user inflicts Poison, they may lower their Defense instead of Special Defense if desired."
Costar,Scene x2 - Reaction,"Effect: The user gains CS in the same Stats for the same value or gains the same Modifier for the same duration. 
Bonus: When the user takes their Turn, if the Ally they’re acting alongside targets an Enemy with an Attack, that Enemy cannot apply Stat Evasion against your Attacks. ",An Ally gains Combat Stages or a Temporary Modifier,,,"Scene x2 - Reaction
Trigger - An Ally gains Combat Stages or a Temporary Modifier
Effect: The user gains CS in the same Stats for the same value or gains the same Modifier for the same duration. 
Bonus: When the user takes their Turn, if the Ally they’re acting alongside targets an Enemy with an Attack, that Enemy cannot apply Stat Evasion against your Attacks. "
Cotton Plume,At-Will - Free Action ,"Effect: Choose Accuracy or Evasion. All Enemies within 1m of the user have a penalty to the chosen combat value equal to your Tier Level until the end of their next Turn. An Enemy can only be affected by Cotton Plume once per Round.  
Bonus: This Ability may be used as a Swift Action to ignore the Trigger. ",The user uses a Grass Type Attack or is hit by an Attack from an Adjacent Enemy,,Defensive,"At-Will - Free Action 
Keywords - Defensive
Trigger - The user uses a Grass Type Attack or is hit by an Attack from an Adjacent Enemy
Effect: Choose Accuracy or Evasion. All Enemies within 1m of the user have a penalty to the chosen combat value equal to your Tier Level until the end of their next Turn. An Enemy can only be affected by Cotton Plume once per Round.  
Bonus: This Ability may be used as a Swift Action to ignore the Trigger. "
