Move,Freq,AC,Type,Roll,Dmg. Type,Range,Special Effect
Crunch,EOT,2,Dark,2d8+10 ,Phys,"Melee, 1 Target","Crunch lowers the target's Defense 1 CombatStage on 17+"
Dark Pulse,EOT,2,Dark,2d8+10 ,Spec,"8, 1 Target, Aura","Dark Pulse Flinches the target on 17+"
Darkest Lariat,EOT,2,Dark,2d10+10 ,Phys,"Melee, 1 Target","This Move ignores the target's positiveDefense Combat Stages and all Damage Reduction."
Dark Slumber,EOT,2,Dark,2d6+8 ,Spec,"5, 1 Target","Dark slumber makes the target fall asleep on 16+."
Devour,Scene x2,/,Dark,,Phys,"","After the target takes damage, the user gains HP equal to half of the damage they dealt to the target.Additionally, if the target is a Dark-type Pokémon, Devour's damage base increases by +2."
False Surrender,EOT,/,Dark,2d6+8 ,Phys,"Melee, 1 Target","False Surrender cannot miss."
Disorient,At-Will,2,Dark,1d8+8 ,Spec,"6, 1 Target","Disorient Confuses the target on 19+."
Feint Attack,EOT,/,Dark,2d6+8 ,Phys,"Melee, 1 Target","Feint Attack cannot miss."
Fiery Wrath,EOT,2,Dark,2d10+10 ,Spec,"6, 1 Target","Fiery Wrath Flinches the target on a 17+. Onceper Scene, Fiery Wrath may instead be used as a Fire-Type Move."
Fling,Scene x2,2,Dark,,Phys,"6, 1 Target, Fling","The user throws a held item, determining theeffect of Fling."
Foul Play,Scene x2,2,Dark,3d8+10 ,Phys,"Melee, 1 Target","The target reveals its Attack stat. Whencalculating damage, add the target's Attack stat insteadof the user's Attack stat."
Hyperspace Fury,Daily,2,Dark,3d8+10 ,Phys,"Burst 2","Interrupts may not be triggered againstHyperspace Fury. The user's Defense is lowered by -1Combat Stage."
Knock Off,Scene,2,Dark,2d6+10 ,Phys,"Melee, 1 Target","Choose one of the target's Held Items orAccessory Slot Items. It is knocked to the ground."
Kowtow Cleave,EOT,/,Dark,2d10+10 ,Phys,"Melee, 1 Target","Kowtow Cleave cannot miss."
Lash Out,EOT,2,Dark,2d6+8 ,Phys,"Melee, 1 Target","If the user has lost CS from a source other thanitself since the end of its last turn, Lash Out is insteadDB 15 (4d10 + 20 / 45). Any given foe may be thetarget of this increased damage only once per Scene."
Night Daze,EOT,3,Dark,2d10+10 ,Spec,"4, 1 Target","Night Daze lowers the target's Accuracy by -1 on13+."
Night Slash,EOT,2,Dark,2d6+10 ,Phys,"Melee, Pass","Night Slash is a Critical Hit on 18+"
Payback,EOT,2,Dark,1d8+8 ,Phys,"Melee, 1 Target","If the target hit the user with a Damaging Moveon the previous turn, Payback has a Damage Base of 10(3d8+10 / 24) instead."
Power Trip,EOT,2,Dark,1d6+3 ,Phys,"Melee, 1 Target","This Move gains +2 to its Damage Base forevery positive Combat Stage held by the user, to amaximum of DB 20."
Punishment,EOT,2,Dark,2d6+8 ,Phys,"Melee, 1 Target","Punishment's Damage Base is raised by +1for each positive Combat Stage the target has, to amaximum of DB 12."
Pursuit,At-Will,2,Dark,1d8+6 ,Phys,"Melee, 1 Target","If the foe is fleeing or being switched out, Pursuitmay be used as an Interrupt, targeting the triggeringfoe. When used as an Interrupt, Pursuit grants the usera +5 bonus to all Movement Speeds, and has a DamageBase of 8 (2d8+10 / 19)."
Snarl,EOT,3,Dark,2d6+8 ,Spec,"Cone 2, Sonic","All Legal Targets have their Special Attacklowered 1 Combat Stage."
Sucker Punch,At-Will,2,Dark,2d8+10 ,Phys,"Melee, 1 Target, Interrupt, Trigger","If an adjacent foe targets the user with a DamagingAttack, Sucker Punch may be used as an Interrupt Moveagainst the triggering foe."
Thief,At-Will,2,Dark,2d6+8 ,Phys,"Melee, 1 Target","Thief takes the target's Held Item or AccessorySlot Item and attaches it to Thief's user, if the user is notholding anything."
Throat Chop,EOT,2,Dark,2d8+10 ,Phys,"Melee, 1 Target","The target cannot use Moves with the Sonickeyword for the next two turns."
Wicked Blow,EOT,2,Dark,2d6+8 ,Phys,"Melee, 1 Target, Push","If Wicked Blow hits, it is a Critical Hit. Thetarget is Pushed 6 meters minus their Weight Class.On a roll of 15+, the target is also Tripped."
Wicked Torque,EOT,2,Dark,3d8+10 ,Phys,"Melee, 1 Target",""
Beat Up,EOT,/,Dark,,Phys,"Melee, 1 Target","The user and up to two allies adjacent to thetarget may each make a Struggle Attack against thetarget. These Struggle Attacks hit for Dark-Type Damageinstead of their usual Type. Beat Up may trigger PackHunt only once, no matter the number of attacks."
Dark Void,EOT,10,Dark,,Status,"Melee 1","The target falls Asleep. Once per Scene, DarkVoid may be used as if its range were "Burst 5,Friendly" instead."
Embargo,At-Will,2,Dark,,Status,"6, 1 Target","The target cannot use or benefit from held itemsfor the remainder of the encounter. Embargo may onlyaffect one target at a time; if Embargo is used on a newtarget, the previous target is freed from the effect."
Fake Tears,EOT,2,Dark,,Status,"8, 1 Target, Social","Lower the target's Special Defense 2 CombatStages."
Flatter,At-Will,2,Dark,,Status,"6, 1 Target, Social","The target's Special Attack is raised by +1 CombatStage. Flatter Confuses the target."
Hone Claws,At-Will,/,Dark,,Status,"Self","The user's Accuracy is raised by +1, and the usergains +1 Attack Combat Stage."
Memento,Scene,/,Dark,,Status,"8, 1 Target, Trigger, Free Action","Memento may be used as a Free Action whenthe user becomes Fainted. Memento's target has each oftheir stats lowered by -2 CS."
Nasty Plot,EOT,/,Dark,,Status,"Self","Raise the user's Special Attack 2 Combat Stages."
Obstruct,Scene,/,Dark,,Status,"Self, Interrupt, Shield, Trigger","If the user is hit by a Move, the user may useObstruct. The user is instead not hit by the Move. Youdo not take any damage nor are you affected by anyof the Move's effects. In addition, if the triggeringattack was Melee ranged, the attacker's Defense islowered by 2 Combat Stages."
Parting Shot,At-Will,2,Dark,,Status,"6, 1 Target, Social","If Parting Shot successfully hits, the target'sAttack and Special Attack stats are lowered by oneCombat Stage and the user is immediately recalledin the same turn. A new pokémon may immediatelybe sent out. Using Parting Shot lets a Trapped user berecalled."
Quash,At-Will,2,Dark,,Status,"10, 1 Target, Social","Quash changes the target's Initiative to 0 for theremainder of the round."
Ruination,Scene,4,Dark,,Spec,"4, 1 Target","The target loses 1/2 of their current Hit Po"
Snatch,Scene x2,/,Dark,,Status,"6, 1 Target, Interrupt","If the target uses a Self-Targeting Move, you mayuse Snatch. You gain the benefits of the Self-TargetingMove instead of the target."
Switcheroo,At-Will,2,Dark,,Status,"Melee, 1 Target","The user and the target exchange Held Items orAccessory Slot Items."
Taunt,EOT,3,Dark,,Status,"6, 1 Target, Social","The target becomes Enraged."
Topsy-Turvy,EOT,4,Dark,,Status,"6, 1 Target","The target's Combat Stages are inverted; +1 Stagebecomes -1 Stage, -3 Stages becomes +3 Stages, etc."
Torment,Scene x2,2,Dark,,Status,"10, 1 Target, Social","The target becomes Suppressed."
Breaking Swipe,EOT,2,Dragon,2d6+8 ,Phys,"Close Blast 2","The target's Attack is lowered 1 CS."
Serpent Swipe,EOT,2,Dragon,2d8+10 ,Phys,"Line 3","Serpent Swipe Flinches on 17+."
Clanging Scales,Scene x2,2,Dragon,3d10+10 ,Spec,"6, 1 Target or Burst 1","The user adds half their Defense Stat toClanging Scale's Damage Roll. After the Move isresolved, the user's Defense is lowered by 1 CS."
Core Enforcer,Daily x2,2,Dragon,3d8+10 ,Spec,"6, Ranged Blast 3, Spirit Surge","Each target has its Ability disabled until theend of the encounter. If a target has more than oneAbility, you choose one of them to disable."
Draco Jet,At-Will,2,Dragon,1d8+6 ,Phys,"Melee, 1 Target, Priority","None."
Draco Meteor,Scene,4,Dragon,4d10+10 ,Spec,"8, Ranged Blast 3, Smite","Lower the user's Special Attack 2 Combat Stagesafter damage."
Dragon Breath,EOT,2,Dragon,2d6+8 ,Spec,"6, 1 Target","Dragon Breath Paralyzes the Target on 15+."
Dragon Cheer,Scene,/,Dragon,,Status,"Blessing","DBlessing - Any user affected by this"
Dragon Claw,At-Will,2,Dragon,2d8+10 ,Phys,"Melee, 1 Target","None"
Dragon Darts,EOT,2,Dragon,1d8+8 ,Phys,"","6, 1 Target, Double Strike; or 6, 2 Targets"
Dragon Energy,Daily x2,2,Dragon,4d10+20 ,Spec,"Cone 3 or Line 8","For each 10% of HP the user is missing, DragonEnergy's Damage Base is reduced by 1."
Dragon Hammer,EOT,2,Dragon,2d10+10 ,Phys,"","Melee, 1 Target or Line 3"
Dragon Pulse,EOT,2,Dragon,2d10+10 ,Spec,"8, 1 Target, Aura","None"
Dragon Rage,At-Will,2,Dragon,,Spec,"4, 1 Target","If it hits, Dragon Rage causes the target to lose15 Hit Points. Dragon Rage is Special and interacts withother moves and effects as such (Special Evasion may beapplied to avoid it, Mirror Coat can reflect it, etc.)."
Dragon Rush,Scene x2,4,Dragon,3d8+10 ,Phys,"Melee, 1 Target, Dash, Push, Smite","The target is Pushed 3 meters. Dragon RushFlinches the target on 17+."
Dragon Tail,At-Will,3,Dragon,2d6+8 ,Phys,"Melee, 1 Target, Push","The target is Pushed 6 meters minus their WeightClass. On a roll of 15+, the target is also Tripped."
Dragon's Taint,Daily x2,/,Dragon,,Spec,"","Dragon's Taint has a chance to poison the target on a roll of 14+ and on a 17+ the Target Becomes BadlyPoisoned instead. This Move is Also super effective Against Fairy & Grass Types."
Dual Chop,EOT,3,Dragon,1d8+8 ,Phys,"Melee, 1 Target, Double Strike","None"
Dynamax Cannon,Scene x2,2,Dragon,3d8+10 ,Spec,"6, 1 Target","The DB of Dynamax Cannon increases by +2 foreach positive CS the target has, to a maximum of DB20."
Eternabeam,Scene,4,Dragon,5d10+20 ,Spec,"","Line 6, Smite, Exhaust"
Order up,EOT,3,Dragon,2d8+10 ,Phys,"Melee, 1 Target",""
Outrage,Scene x2,3,Dragon,3d12+10 ,Phys,"Melee, all adjacent foes, Smite","After damage is dealt, the user becomes Enragedand Confused."
Redline,Scene x2,3,Dragon,2d8+10 ,Versatile (uses highet of physical/or special attack),"Melee, 1 Target, Dash, Versatile","The target may not make Attacks ofOpportunity until the end of the Round. Ifthe target has any positive Combat Stages,it loses them, and this Move is 1 step moreEffective. After attacking, the user mayMove up to their remaining Movement as aFree Action"
Roar of Time,Daily x2,4,Dragon,4d10+20 ,Spec,"Burst 8, Smite, Exhaust","All legal targets are Slowed, even if the attackmisses."
Scale Shot,EOT,4,Dragon,1d6+5 ,Phys,"6, 1 Target, Five Strike","The user's Speed is raised 1 CS, and the user'sDefense is lowered 1 CS."
Spacial Rend,Daily x2,3,Dragon,3d8+10 ,Spec,"10, 1 Target","Spacial Rend is a Critical Hit on Even-NumberedRolls."
Twister,At-Will,2,Dragon,1d8+6 ,Spec,"6, Ranged Blast 3","Small or Medium targets in the central squareof the blast are not hit. Twister Flinches the target on18-20 during Accuracy Check. Any pokémon Airborneas a result of Fly or Sky Drop above the Blast are hit,ignoring range, and Twister has a Damage Base of 8against those targets instead."
Clangorous Soul,Scene,/,Dragon,,Status,"Self","The user loses 1/3rd of their Max Hit Pointsand has each of its stats raised by +1 Combat Stage."
Dragon Dance,EOT,/,Dragon,,Status,"Self","Raise the user's Attack 1 Combat Stage and raisethe user's Speed 1 Combat Stage."
Aura Wheel,Scene x2,2,Electric,3d10+10 ,Phys,"Melee, 1 Target","The user's Speed is increased 1 CS."
Bolt Beak,Scene x2,2,Electric,2d10+10 ,Phys,"Melee, 1 Target","Against targets with a lower initiative thathave not yet acted this round, Bolt Beak deals +10damage."
Bolt Strike,Scene x2,5,Electric,4d10+10 ,Phys,"10, 1 Target, Smite","Bolt Strike Paralyzes the target on 17+."
Burning Thunder,Scene x2,2,Electric,2d8+10 ,Spec,"5, 1 Target","Burning Thundeer Burns the target on 15+."
Charge Beam,At-Will,4,Electric,1d8+8 ,Spec,"6, 1 Target","If Charge Beam successfully hits a target, roll1d20. On a roll of 7+, the user's Special Attack is raisedby +1 Combat Stage."
Discharge,EOT,2,Electric,2d8+10 ,Spec,"All Cardinally Adjacent Targets","Discharge Paralyzes all legal targets on 15+."
Double Shock,Daily x2,2,Electric,3d12+10 ,Phys,"Melee, 1 Target, Smite","Until the end of the encounter, the user loinstead become Normal-Type."
Electro Ball,Scene x2,2,Electric,2d8+6 ,Spec,"10, 1 Target","The user adds their Speed Stat, includingCombat Stages, in addition to their Special Attack whendetermining the damage dealt by Electro Ball. TheDefender in turn subtracts both their Special Defenseand Speed Stats from the damage dealt before applyingType Effectiveness."
Electro Drift,Scene x2,2,Electric,3d8+10 ,Spec,"Melee 1, Target, Dash, Pass",""
Electroweb,EOT,3,Electric,2d6+8 ,Spec,"4, Ranged Blast 2","All Legal Targets are lowered 1 Speed CombatStage."
Fusion Bolt,Scene x2,2,Electric,3d8+10 ,Phys,"8, 1 Target, Smite","If Fusion Flare was used this round or last roundby any participant of the encounter, Fusion Bolt has its DB increased by +3."
Nuzzle,Scene,2,Electric,1d6+3 ,Phys,"Melee, 1 Target","Nuzzle Paralyzes the target."
Guardian Bolt,EOT,/,Electric,,Phys,"","Guardian Bolt Paralyzes on 18+ if used oon electric terrain Paralyzes on 16+ Instead."
Overdrive,EOT,2,Electric,2d8+10 ,Spec,"","Cone 2, Sonic"
Parabolic Charge,Scene,4,Electric,1d8+8 ,Spec,"Cone 2","After the targets take damage, the user gains HitPoints equal to half of the total damage they dealt to alltargets."
Plasma Fists,Scene,2,Electric,3d8+10 ,Phys,"Melee, 1 Target, Smite","The target's next damaging Normal Type Moveinstead becomes Electric Type."
Rising Voltage,Scene x2,2,Electric,2d6+10 ,Spec,"Burst 2, Groundsource, Spirit Surge","After Rising Voltage is resolved, you maycreate Electric Terrain in a Blast 7, centered on theuser, that lasts for 5 turns. Any creatures in thosespaces are affected as if by the Field Move ElectricTerrain, rather than any other Field Move. This Effectmay trigger only once per Scene."
Sacred Thunder,Scene x2,3,Electric,3d10+10 ,Phys,"Dash, 1 Target, Smite","On 18+ target becomes paralyzed."
Shock Wave,At-Will,2,Electric,1d8+6 ,Spec,"4, 1 Target, Priority, Aura","None"
Spark,EOT,2,Electric,2d6+8 ,Phys,"Melee, 1 Target, Dash","Spark Paralyzes the target on 15+."
Thunder,Scene x2,7,Electric,3d10+10 ,Spec,"12, 1 Target, Smite","Thunder Paralyzes its target on 15+. If the targetis in Sunny Weather, Thunder's Accuracy Check is 11.If the target is in Rainy Weather, Thunder cannot miss.If the target is airborne as a result of Fly or Sky Drop,Thunder cannot miss."
Thunder Cage,Daily x2,4,Electric,2d8+10 ,Spec,"8, Ranged Blast 2, Spirit Surge","The targets are trapped in a Vortex. The DC toescape the Vortex is increased by 3."
Thunder Cloud,Scene x2,4,Electric,2d10+10 ,Spec,"8, Ranged Blast 2, Spirit Surge","On 15+ sets tailwind for 2 turns for user's team ."
Thunder Edge,EOT,4,Electric,2d6+10 ,Phys,"Melee, 1 Target","Thunderous Edge Paralyzes the target on 18+"
Thunder Punch,At-Will,2,Electric,2d8+10 ,Phys,"Melee, 1 Target","Thunder Punch Paralyzes the target on 19+."
Thunder Shock,At-Will,2,Electric,1d8+6 ,Spec,"4, 1 Target","Thunder Shock Paralyzes the target on 17+."
Thunderbolt,EOT,2,Electric,2d10+10 ,Spec,"4, 1 Target","Thunderbolt Paralyzes the target on 19+."
Voltage Overload,Daily x2,/,Electric,,Spec,"","Effect:Voltage overload paralyzes on 17+. It also does super effective damage to Electric type pokemonsand additionally when used on an electric type pokemon:After the target takes damage, the user gainsHit Points equal to half of the damage they dealt to thetarget.:"
Volt Switch,At-Will,2,Electric,2d6+10 ,Spec,"5, 1 Target","If Volt Switch successfully hits its target, theuser deals damage and then immediately is returnedto its Poké Ball in the same turn. A New pokémonmay immediately be sent out. Using Volt Switch lets aTrapped user be recalled."
Volt Tackle,Scene x2,2,Electric,3d12+10 ,Phys,"Melee, 1 Target, Dash, Recoil 1/3","Volt Tackle Paralyzes the target on 19+."
Wild Charge,At-Will,2,Electric,2d10+10 ,Phys,"Melee, 1 Target, Dash, Recoil 1/3","None."
Wildbolt Storm,Scene,5,Electric,3d8+10 ,Spec,"6, Ranged Blast 3, Smite","The target is Paralyzed on a 15+."
Zap Cannon,At-Will,9,Electric,3d12+10 ,Spec,"12, 1 Target","Zap Cannon Paralyzes the target. Zap Cannonignores the target's Evasion if there are no othercombatants or Rough or Blocking Terrain within 2meters of the target."
Zing Zap,EOT,2,Electric,2d8+10 ,Phys,"Melee, 1 Target","Zing Zap Flinches the target on 15+."
Charge,EOT,/,Electric,,Status,"Self","If the user performs an Electric Move on theirnext turn that deals damage, add its Damage Dice Rollan extra time to the damage. Raise the user's SpecialDefense 1 Combat Stage."
Eerie Impulse,EOT,2,Electric,,Status,"6, 1 Target","The target's Special Attack is lowered 2 CombatStages."
Electric Terrain,Daily x2,/,Electric,,Status,"Field","The field becomes Electrified for 5 rounds. WhileElectrified, pokémon and Trainers touching the groundare immune to Sleep, and Electric-Type attacks used bypokémon and Trainers touching the ground gain a +10Bonus to Damage Rolls."
Electrify,EOT,/,Electric,,Status,"6, 1 Target","Until the end of the user's next turn, the target'sdamaging Water-Type attacks and Melee attacks of anyType deal Electric-Type Damage instead of their usualType."
Ion Deluge,Scene,/,Electric,,Status,"5, Ranged Blast 3, Interupt","An ion cloud is dispersed in the targeted area.All Normal-Type Moves targeting into or originatingfrom the area become Electric-Typed Moves."
Magnet Rise,Daily x2,2,Electric,,Status,"Self, Swift Action","The user gains the Levitate Ability for 5 turns.Magnet Rise may be activated as a Swift Action if theuser is otherwise given an action that consumes aCommand."
Magnetic Flux,Scene x2,/,Electric,,Status,"Burst 4","All targets with the Plus or Minus Abilitiesreceive +1 Defense and Special Defense CombatStages."
Thunder Wave,Scene x2,4,Electric,,Status,"6, 1 Target","Thunder Wave Paralyzes the target. Targetsimmune to Electric Attacks are immune to ThunderWave's effects."
Butterfly Knife,At-Will,3,Fairy,1d8+6 ,Phys,"Melee, 1 Target","If Butterfly Knife is used successfully andconsecutively on the same target, the Damage Base isincreased by +4 to a maximum of 16. For example, thefirst hit would have a DB of 4; the second hit a DB of 8;the third hit a DB of 12; the fourth and further hits a DBof 16. If Butterfly Knife misses or fails to damage its target,its Damage Base resets."
Pixie Flurry,Scene x2,/,Fairy,,Phys,"","None"
Bewitch,Scene x2,5,Fairy,,Status,"6, 1 Target","Effect:The target receives a random status affliction, Roll a 6 Die.1:Burned:2:Frozen3:Paralysis:4:Sleep5:Freez:"
Covet,At-Will,2,Fairy,2d6+8 ,Phys,"Melee, 1 Target","Covet takes the target's Held Item or AccessorySlot Item and attaches it to Covet's user, if the user is notholding anything."
Crush,At-Will,2,Fairy,2d6+10 ,Phys,"Melee, 1 Target","Crunch infatuates the target on 17+"
Dazzling Gleam,EOT,2,Fairy,2d8+10 ,Spec,"Cone 2","None"
Devotion Dance,Scene x2,3,Fairy,3d12+10 ,Spec,"Melee, all adjacent foes, Smite","After damage is dealt, the user becomes Enragedand Confused."
Disarming Voice,At-Will,/,Fairy,1d8+6 ,Spec,"Burst 1","Disarming Voice cannot miss."
Draining Kiss,EOT,2,Fairy,1d8+8 ,Spec,"Melee, 1 Target","After the target takes damage, the user gainsHit Points equal to half of the damage they dealt to thetarget."
Enchanted Blade,EOT,/,Fairy,2d6+8 ,Phys,"Melee, 1 Target","Aerial Ace cannot miss."
Fair Play,Scene x2,2,Fairy,3d8+10 ,Phys,"Melee, 1 Target","The target reveals its Special Attack stat. Whencalculating damage, add the target's Attack stat insteadof the user's Attack stat."
Fairy Powder,Scene x2,3,Fairy,1d6+3 ,Spec,"4, 1 Target","Opponent becomes confused. If move is used on sunny weather or in light terrain , Fairy Powderdamage base is 5."
Fairy Whirl,EOT,4,Fairy,2d10+10 ,Spec,"Burst 2, spirit surge","Apply confusion to target on 17+ . If target is suffering from any status condition, Fairy Whirldamage base is increased by 2"
Fairy Wind,At-Will,2,Fairy,1d8+6 ,Spec,"6, 1 Target","None"
